sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,0,0.777999997138977,0.8550000190734863,0.6290000081062317,0.0989999994635582,0.07100000232458115,0.16099999845027924,0.12999999523162842,0.04399999976158142,0.0,0.0020000000949949026,0.2769,0.7540000081062317,0.10099999904632569,0.0010000000474974513,0.27690000196453185,2.0251652026663023,0.004615709590911865
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,1,0.8140000104904175,0.8840000033378601,0.7509999871253967,0.2849999964237213,0.2879999876022339,0.3580000102519989,0.42100000381469727,0.27900001406669617,0.0020000000949949026,0.05299999937415123,0.4135,0.8163333336512247,0.32620000243186953,0.027499999734573066,0.4135000012582168,1.289013986684838,0.003500602340698242
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,2,0.8519999980926514,0.9160000085830688,0.7049999833106995,0.4320000112056732,0.4569999873638153,0.4189999997615814,0.5899999737739563,0.5569999814033508,0.014999999664723873,0.13500000536441803,0.5078,0.8243333299954733,0.49099999070167544,0.07500000251457095,0.5077999948523939,0.8153649130646063,0.002992480182647705
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,3,0.8529999852180481,0.9160000085830688,0.734000027179718,0.4359999895095825,0.47200000286102295,0.5070000290870667,0.6460000276565552,0.6470000147819519,0.12399999797344208,0.24500000476837158,0.558,0.834333340326945,0.5416000127792359,0.18450000137090683,0.5580000087618828,0.49551105864193973,0.0027905954003334043
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,4,0.8669999837875366,0.9200000166893005,0.7369999885559082,0.44200000166893005,0.5360000133514404,0.5299999713897705,0.6729999780654907,0.6539999842643738,0.19200000166893005,0.3050000071525574,0.5856,0.8413333296775818,0.5669999897480011,0.2485000044107437,0.5855999946594238,0.2941652940852301,0.002790690279006958
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,5,0.8659999966621399,0.9160000085830688,0.7360000014305115,0.4729999899864197,0.5260000228881836,0.5329999923706055,0.6710000038146973,0.6610000133514404,0.2980000078678131,0.36800000071525574,0.6048,0.8393333355585734,0.5728000044822693,0.3330000042915344,0.6048000037670136,0.16816284918055244,0.002740007770061493
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,6,0.8700000047683716,0.9240000247955322,0.7549999952316284,0.4690000116825104,0.5600000023841858,0.550000011920929,0.6930000185966492,0.6660000085830688,0.32199999690055847,0.3569999933242798,0.6166,0.8496666749318441,0.5876000106334687,0.33949999511241913,0.6166000068187714,0.10022735762961056,0.0028830968022346497
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,7,0.8619999885559082,0.9229999780654907,0.7620000243186951,0.4659999907016754,0.5509999990463257,0.5609999895095825,0.6980000138282776,0.6620000004768372,0.3319999873638153,0.38499999046325684,0.6202,0.8489999969800314,0.5875999987125397,0.35849998891353607,0.6201999962329865,0.06203296172375582,0.0029826898097991945
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,8,0.875,0.9150000214576721,0.7670000195503235,0.47600001096725464,0.5509999990463257,0.5640000104904175,0.7049999833106995,0.6600000262260437,0.35600000619888306,0.4300000071525574,0.6299,0.8523333470026652,0.5912000060081481,0.3930000066757202,0.6299000084400177,0.042364545964768956,0.003039103698730469
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,9,0.8730000257492065,0.9129999876022339,0.7549999952316284,0.49000000953674316,0.5619999766349792,0.5640000104904175,0.722000002861023,0.675000011920929,0.35899999737739563,0.4129999876022339,0.6326,0.847000002861023,0.6026000022888184,0.38599999248981476,0.632600000500679,0.029823067769104122,0.0031206755518913267
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,10,0.8769999742507935,0.9240000247955322,0.7580000162124634,0.492000013589859,0.5540000200271606,0.5669999718666077,0.7279999852180481,0.6840000152587891,0.3630000054836273,0.38999998569488525,0.6337,0.8530000050862631,0.6050000011920929,0.3764999955892563,0.6337000012397767,0.021997330444199697,0.003211984837055206
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,11,0.8740000128746033,0.906000018119812,0.7720000147819519,0.4909999966621399,0.5529999732971191,0.5540000200271606,0.7239999771118164,0.6850000023841858,0.3720000088214874,0.42100000381469727,0.6352,0.8506666819254557,0.6013999938964844,0.39650000631809235,0.6352000027894974,0.01857127770971583,0.0032669511675834655
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,12,0.871999979019165,0.9160000085830688,0.7730000019073486,0.4880000054836273,0.5619999766349792,0.5709999799728394,0.7269999980926514,0.671999990940094,0.367000013589859,0.41200000047683716,0.636,0.8536666631698608,0.6039999902248383,0.3895000070333481,0.635999995470047,0.01402184754914167,0.0033404173851013185
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,13,0.8659999966621399,0.9190000295639038,0.7739999890327454,0.5040000081062317,0.5640000104904175,0.5360000133514404,0.7279999852180481,0.6710000038146973,0.367000013589859,0.4189999997615814,0.6348,0.8530000050862631,0.600600004196167,0.3930000066757202,0.6348000049591065,0.01227712938181904,0.0034248478770256044
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,14,0.8640000224113464,0.9179999828338623,0.7799999713897705,0.4869999885559082,0.5569999814033508,0.5649999976158142,0.7379999756813049,0.6759999990463257,0.37400001287460327,0.42100000381469727,0.638,0.8539999922116598,0.6045999884605407,0.39750000834465027,0.6379999935626983,0.010745666944896993,0.003482869291305542
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,15,0.8759999871253967,0.9229999780654907,0.7649999856948853,0.4790000021457672,0.5669999718666077,0.5649999976158142,0.7300000190734863,0.6980000138282776,0.3880000114440918,0.43700000643730164,0.6428,0.8546666502952576,0.6078000009059906,0.4125000089406967,0.6427999973297119,0.009805648007943315,0.003482996666431427
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,16,0.8640000224113464,0.9259999990463257,0.7710000276565552,0.4970000088214874,0.5440000295639038,0.5419999957084656,0.7450000047683716,0.6980000138282776,0.38499999046325684,0.4259999990463257,0.6398,0.8536666830380758,0.6052000105381012,0.40549999475479126,0.6398000091314315,0.008466323276943698,0.003531213581562042
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,17,0.8550000190734863,0.9279999732971191,0.7820000052452087,0.4790000021457672,0.5619999766349792,0.5509999990463257,0.7089999914169312,0.7070000171661377,0.3840000033378601,0.4339999854564667,0.6391,0.8549999992052714,0.6015999972820282,0.4089999943971634,0.6390999972820282,0.009005433164669998,0.003568598639965057
