sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,0,0.6129999756813049,0.7379999756813049,0.23899999260902405,0.18700000643730164,0.21299999952316284,0.3019999861717224,0.3400000035762787,0.17900000512599945,0.009999999776482582,0.0010000000474974513,0.2822,0.5299999813238779,0.244200000166893,0.005499999911990017,0.2821999944630079,2.2111663818359375,0.004249377965927124
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,1,0.7710000276565552,0.8140000104904175,0.4269999861717224,0.3179999887943268,0.3370000123977661,0.4970000088214874,0.6460000276565552,0.39500001072883606,0.013000000268220901,0.004000000189989805,0.4222,0.6706666747728983,0.4386000096797943,0.008500000229105353,0.4222000073175877,1.6443957703454153,0.0035620476603507997
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,2,0.7900000214576721,0.8389999866485596,0.5239999890327454,0.43700000643730164,0.4959999918937683,0.5130000114440918,0.6759999990463257,0.5709999799728394,0.02500000037252903,0.04699999839067459,0.4918,0.7176666657129923,0.5385999977588654,0.03599999938160181,0.4917999984696507,1.098239256654467,0.003051289665699005
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,3,0.8040000200271606,0.8769999742507935,0.5630000233650208,0.4699999988079071,0.5070000290870667,0.5540000200271606,0.718999981880188,0.6129999756813049,0.10199999809265137,0.19200000166893005,0.5401,0.7480000058809916,0.5726000010967255,0.1469999998807907,0.5401000022888184,0.7150724496160235,0.0027692626953125
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,4,0.7919999957084656,0.8679999709129333,0.6320000290870667,0.4790000021457672,0.5410000085830688,0.5479999780654907,0.7239999771118164,0.6620000004768372,0.23499999940395355,0.31299999356269836,0.5794,0.7639999985694885,0.590799993276596,0.27399999648332596,0.5793999955058098,0.4668711083275931,0.002627636158466339
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,5,0.7990000247955322,0.8759999871253967,0.6129999756813049,0.5049999952316284,0.578000009059906,0.546999990940094,0.746999979019165,0.6579999923706055,0.35600000619888306,0.3709999918937683,0.605,0.762666662534078,0.6069999933242798,0.3634999990463257,0.6049999952316284,0.3078425888504301,0.0025686666131019592
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,6,0.8130000233650208,0.8479999899864197,0.640999972820282,0.49799999594688416,0.5669999718666077,0.5770000219345093,0.7540000081062317,0.656000018119812,0.3799999952316284,0.37299999594688416,0.6107,0.7673333287239075,0.6104000031948089,0.3764999955892563,0.610699999332428,0.19947946497372218,0.0025871439814567567
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,7,0.8169999718666077,0.8640000224113464,0.6320000290870667,0.5040000081062317,0.5690000057220459,0.5870000123977661,0.7540000081062317,0.675000011920929,0.421999990940094,0.40799999237060547,0.6232,0.7710000077883402,0.6178000092506408,0.41499999165534973,0.6232000052928924,0.12980896894420896,0.0025938924193382265
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,8,0.8050000071525574,0.8690000176429749,0.6499999761581421,0.5130000114440918,0.5640000104904175,0.5669999718666077,0.7799999713897705,0.6819999814033508,0.48500001430511475,0.4180000126361847,0.6333,0.7746666669845581,0.6211999893188477,0.4515000134706497,0.6332999974489212,0.09185709868158613,0.0026946107625961304
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,9,0.8169999718666077,0.8820000290870667,0.6520000100135803,0.5320000052452087,0.5580000281333923,0.5839999914169312,0.7689999938011169,0.6850000023841858,0.4569999873638153,0.40299999713897705,0.6339,0.7836666703224182,0.625600004196167,0.4299999922513962,0.6339000016450882,0.07544858189565795,0.002746322691440582
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,10,0.8100000023841858,0.8709999918937683,0.6539999842643738,0.5070000290870667,0.5740000009536743,0.5770000219345093,0.7789999842643738,0.6940000057220459,0.47600001096725464,0.43299999833106995,0.6375,0.778333326180776,0.626200008392334,0.4545000046491623,0.6375000029802322,0.05553600074989455,0.0027693148612976076
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,11,0.8159999847412109,0.878000020980835,0.6520000100135803,0.5230000019073486,0.5580000281333923,0.5849999785423279,0.765999972820282,0.6909999847412109,0.5,0.42899999022483826,0.6398,0.7820000052452087,0.6245999932289124,0.46449999511241913,0.6397999972105026,0.04275981288935457,0.0028428227066993714
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,12,0.8069999814033508,0.8840000033378601,0.6579999923706055,0.5180000066757202,0.5789999961853027,0.5799999833106995,0.7900000214576721,0.652999997138977,0.4830000102519989,0.4320000112056732,0.6384,0.7829999923706055,0.6240000009536744,0.45750001072883606,0.638400000333786,0.03503548055887222,0.002920424520969391
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,13,0.7919999957084656,0.8849999904632568,0.6710000038146973,0.5339999794960022,0.5669999718666077,0.5989999771118164,0.7730000019073486,0.6769999861717224,0.48399999737739563,0.44200000166893005,0.6424,0.7826666633288065,0.6299999833106995,0.46299999952316284,0.6423999905586243,0.028015177005103656,0.0029451212406158447
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.5-0.5-0.5-0-0-0-0-0-0-0,14,0.8220000267028809,0.8849999904632568,0.6669999957084656,0.5099999904632568,0.5649999976158142,0.5770000219345093,0.7829999923706055,0.7039999961853027,0.47600001096725464,0.4429999887943268,0.6432,0.7913333376248678,0.6277999997138977,0.4594999998807907,0.6432000011205673,0.03457915785589388,0.002993895387649536
