sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,0,0.7789999842643738,0.800000011920929,0.47099998593330383,0.10999999940395355,0.12300000339746475,0.1809999942779541,0.22200000286102295,0.16899999976158142,0.0020000000949949026,0.0020000000949949026,0.2859,0.6833333273728689,0.16099999994039535,0.0020000000949949026,0.2858999982010573,2.125456443647059,0.004442242908477783
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,1,0.7649999856948853,0.8399999737739563,0.6190000176429749,0.27300000190734863,0.17900000512599945,0.4050000011920929,0.48500001430511475,0.38999998569488525,0.02199999988079071,0.004999999888241291,0.3983,0.7413333257039388,0.3464000016450882,0.013499999884516,0.3982999985106289,1.5113889356938803,0.00376566196680069
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,2,0.8100000023841858,0.8809999823570251,0.5770000219345093,0.38999998569488525,0.41100001335144043,0.46399998664855957,0.6069999933242798,0.4909999966621399,0.054999999701976776,0.02500000037252903,0.4711,0.7560000022252401,0.472599995136261,0.0400000000372529,0.4710999982431531,1.0704275965690613,0.003236086893081665
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,3,0.8199999928474426,0.8889999985694885,0.6140000224113464,0.4339999854564667,0.4650000035762787,0.4779999852180481,0.6439999938011169,0.5910000205039978,0.09799999743700027,0.10199999809265137,0.5135,0.7743333379427592,0.5223999977111816,0.09999999776482582,0.5134999997913837,0.7717693259076375,0.0029832213759422303
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,4,0.8009999990463257,0.8820000290870667,0.6449999809265137,0.4909999966621399,0.5139999985694885,0.4830000102519989,0.6549999713897705,0.5669999718666077,0.14300000667572021,0.21899999678134918,0.54,0.7760000030199686,0.5419999897480011,0.1810000017285347,0.539999996125698,0.5753074840801519,0.0028980503678321837
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,5,0.8479999899864197,0.8619999885559082,0.6430000066757202,0.4339999854564667,0.515999972820282,0.5320000052452087,0.6779999732971191,0.6029999852180481,0.17499999701976776,0.25699999928474426,0.5548,0.784333328406016,0.552599984407425,0.215999998152256,0.5547999903559685,0.4285439216509098,0.0028764575004577636
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,6,0.8519999980926514,0.8569999933242798,0.6349999904632568,0.4880000054836273,0.5509999990463257,0.5170000195503235,0.7179999947547913,0.6200000047683716,0.22200000286102295,0.32499998807907104,0.5785,0.781333327293396,0.5788000047206878,0.273499995470047,0.5784999996423721,0.33357508516893153,0.0028335422039031982
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,7,0.8320000171661377,0.8849999904632568,0.6520000100135803,0.46799999475479126,0.5529999732971191,0.5199999809265137,0.7099999785423279,0.6299999952316284,0.2460000067949295,0.33000001311302185,0.5826,0.7896666725476583,0.576199984550476,0.2880000099539757,0.5825999960303306,0.26339588732254215,0.0028985201239585877
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,8,0.8109999895095825,0.8870000243186951,0.6899999976158142,0.46700000762939453,0.527999997138977,0.5410000085830688,0.6850000023841858,0.628000020980835,0.28600001335144043,0.3529999852180481,0.5876,0.7960000038146973,0.5698000073432923,0.31949999928474426,0.5876000046730041,0.2369503418846828,0.0029011672258377075
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.3-0.3-0.3-0-0-0-0-0-0-0,9,0.8489999771118164,0.878000020980835,0.6759999990463257,0.4659999907016754,0.5090000033378601,0.5360000133514404,0.7279999852180481,0.628000020980835,0.28999999165534973,0.38199999928474426,0.5942,0.8009999990463257,0.5734000027179718,0.335999995470047,0.594200000166893,0.18733199340541187,0.0029712732315063475
