sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,0,0.5789999961853027,0.6700000166893005,0.10499999672174454,0.07199999690055847,0.2840000092983246,0.5040000081062317,0.5870000123977661,0.5559999942779541,0.4729999899864197,0.5709999799728394,0.4401,0.6016666690508524,0.48379999995231626,0.0884999968111515,0.4401000000536442,2.04555627249055,0.003379652225971222
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,1,0.6620000004768372,0.7979999780654907,0.4169999957084656,0.34700000286102295,0.4729999899864197,0.550000011920929,0.7369999885559082,0.6669999957084656,0.6850000023841858,0.6660000085830688,0.6002,0.6256666580835978,0.5547999978065491,0.6755000054836273,0.6001999974250793,1.2077118926129098,0.0023408125758171082
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,2,0.7139999866485596,0.7979999780654907,0.5120000243186951,0.47200000286102295,0.5049999952316284,0.5649999976158142,0.7570000290870667,0.7200000286102295,0.75,0.7149999737739563,0.6508,0.6746666630109152,0.6038000106811523,0.7324999868869781,0.6508000016212463,0.7206439588029506,0.0020313291728496553
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,3,0.7160000205039978,0.8090000152587891,0.531000018119812,0.49300000071525574,0.5669999718666077,0.5740000009536743,0.7720000147819519,0.7360000014305115,0.7879999876022339,0.7459999918937683,0.6732,0.6853333512941996,0.6283999979496002,0.7669999897480011,0.6732000023126602,0.4333540009239973,0.0019813649594783785
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,4,0.7279999852180481,0.8180000185966492,0.5669999718666077,0.4950000047683716,0.5839999914169312,0.5910000205039978,0.7850000262260437,0.7509999871253967,0.7940000295639038,0.7599999904632568,0.6873,0.7043333252271017,0.6412000060081482,0.7770000100135803,0.6873000025749206,0.2528702639422174,0.002006562465429306
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,5,0.7649999856948853,0.8349999785423279,0.5789999961853027,0.4970000088214874,0.5709999799728394,0.5899999737739563,0.7979999780654907,0.7540000081062317,0.7990000247955322,0.75,0.6938,0.7263333201408386,0.6419999897480011,0.7745000123977661,0.6937999933958053,0.14689439055273087,0.002083058476448059
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,6,0.7480000257492065,0.8410000205039978,0.5600000023841858,0.4909999966621399,0.593999981880188,0.6100000143051147,0.7860000133514404,0.7639999985694885,0.7940000295639038,0.765999972820282,0.6954,0.7163333495457967,0.6490000009536743,0.7800000011920929,0.6954000055789947,0.08908909256175412,0.002187780714035034
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,7,0.7699999809265137,0.8360000252723694,0.5720000267028809,0.5080000162124634,0.578000009059906,0.6019999980926514,0.7889999747276306,0.7630000114440918,0.8029999732971191,0.7720000147819519,0.6993,0.7260000109672546,0.6480000019073486,0.7874999940395355,0.6993000030517578,0.05477838874873468,0.0022863221049308777
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,8,0.7599999904632568,0.8529999852180481,0.5839999914169312,0.5019999742507935,0.5899999737739563,0.6050000190734863,0.8050000071525574,0.7549999952316284,0.7860000133514404,0.7739999890327454,0.7014,0.7323333223660787,0.6513999938964844,0.7800000011920929,0.7013999938964843,0.03850832578363055,0.0023584648489952086
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,9,0.7590000033378601,0.847000002861023,0.574999988079071,0.5109999775886536,0.5759999752044678,0.5770000219345093,0.8019999861717224,0.7689999938011169,0.8149999976158142,0.7559999823570251,0.6987,0.7269999980926514,0.646999990940094,0.7854999899864197,0.6986999928951263,0.028132526440766907,0.002437774693965912
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,10,0.7459999918937683,0.843999981880188,0.6000000238418579,0.5180000066757202,0.5809999704360962,0.6129999756813049,0.8029999732971191,0.7699999809265137,0.8230000138282776,0.7509999871253967,0.7049,0.7299999992052714,0.6569999814033508,0.7870000004768372,0.7048999905586243,0.02372479891814923,0.002528424668312073
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,11,0.7580000162124634,0.843999981880188,0.5979999899864197,0.5360000133514404,0.5709999799728394,0.6079999804496765,0.8080000281333923,0.7490000128746033,0.8040000200271606,0.7559999823570251,0.7032,0.7333333293596903,0.6544000029563903,0.7800000011920929,0.7032000005245209,0.02049318176173305,0.0025655394911766054
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,12,0.7599999904632568,0.847000002861023,0.5929999947547913,0.5189999938011169,0.5960000157356262,0.6200000047683716,0.7990000247955322,0.7649999856948853,0.8100000023841858,0.7730000019073486,0.7082,0.7333333293596903,0.6598000049591064,0.7915000021457672,0.7082000017166138,0.01693887479792712,0.0026138337731361387
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,13,0.7409999966621399,0.8389999866485596,0.597000002861023,0.5350000262260437,0.5799999833106995,0.6069999933242798,0.8009999990463257,0.7699999809265137,0.8289999961853027,0.7559999823570251,0.7055,0.7256666620572408,0.6585999965667725,0.7924999892711639,0.7054999947547913,0.013398435385108499,0.00269691880941391
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,14,0.7609999775886536,0.8420000076293945,0.5860000252723694,0.5400000214576721,0.5740000009536743,0.6190000176429749,0.8109999895095825,0.7739999890327454,0.8180000185966492,0.7739999890327454,0.7099,0.7296666701634725,0.6636000037193298,0.7960000038146973,0.7099000036716461,0.011716266967735048,0.0027262287616729736
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,15,0.75,0.8579999804496765,0.6159999966621399,0.5139999985694885,0.6010000109672546,0.625,0.8009999990463257,0.7860000133514404,0.8220000267028809,0.7440000176429749,0.7117,0.7413333257039388,0.6654000043869018,0.7830000221729279,0.7117000043392181,0.010359596930665233,0.0027769750237464906
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,16,0.7710000276565552,0.8450000286102295,0.6060000061988831,0.5569999814033508,0.5830000042915344,0.6159999966621399,0.7860000133514404,0.7789999842643738,0.8190000057220459,0.7609999775886536,0.7123,0.7406666874885559,0.6641999959945679,0.7899999916553497,0.7123000025749207,0.008122639170200643,0.0028228660345077515
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,17,0.7630000114440918,0.8379999995231628,0.5979999899864197,0.5519999861717224,0.6010000109672546,0.6119999885559082,0.8029999732971191,0.7699999809265137,0.8009999990463257,0.7889999747276306,0.7127,0.7330000003178915,0.6675999879837036,0.7949999868869781,0.7126999914646148,0.006865910360968466,0.0028429294347763062
