sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,0,0.48500001430511475,0.6370000243186951,0.24300000071525574,0.28299999237060547,0.27300000190734863,0.4830000102519989,0.675000011920929,0.1850000023841858,0.6000000238418579,0.6110000014305115,0.4475,0.4426666796207428,0.43780000805854796,0.4790000021457672,0.44750000834465026,2.0721481796038352,0.0032741624116897584
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,1,0.6819999814033508,0.7149999737739563,0.5139999985694885,0.47999998927116394,0.4869999885559082,0.5389999747276306,0.7250000238418579,0.6129999756813049,0.7289999723434448,0.7390000224113464,0.6223,0.6369999845822653,0.5687999904155732,0.7339999973773956,0.6222999900579452,1.254662657188157,0.0022281203925609587
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,2,0.7400000095367432,0.7649999856948853,0.578000009059906,0.5299999713897705,0.5879999995231628,0.5730000138282776,0.7730000019073486,0.6890000104904175,0.7839999794960022,0.7720000147819519,0.6792,0.6943333347638448,0.6305999994277954,0.777999997138977,0.6791999995708465,0.7097742203938759,0.0019036412239074707
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,3,0.7450000047683716,0.8090000152587891,0.6169999837875366,0.5239999890327454,0.6179999709129333,0.6060000061988831,0.7910000085830688,0.7260000109672546,0.8119999766349792,0.777999997138977,0.7026,0.7236666679382324,0.652999997138977,0.7949999868869781,0.7025999963283539,0.4037920761916597,0.00180970419049263
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,4,0.7699999809265137,0.8270000219345093,0.6579999923706055,0.5699999928474426,0.6349999904632568,0.597000002861023,0.7990000247955322,0.7200000286102295,0.7979999780654907,0.7689999938011169,0.7143,0.7516666650772095,0.6642000079154968,0.7834999859333038,0.714300000667572,0.22218135024531413,0.0018444047927856444
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,5,0.7599999904632568,0.8230000138282776,0.6449999809265137,0.5770000219345093,0.6579999923706055,0.6380000114440918,0.7950000166893005,0.746999979019165,0.8140000104904175,0.7979999780654907,0.7255,0.7426666617393494,0.6830000042915344,0.8059999942779541,0.7254999995231628,0.12534660833366848,0.0019254517436027526
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,6,0.7519999742507935,0.8169999718666077,0.6570000052452087,0.5640000104904175,0.6620000004768372,0.6520000100135803,0.8029999732971191,0.7620000243186951,0.8209999799728394,0.7929999828338623,0.7283,0.7419999837875366,0.6886000037193298,0.8069999814033508,0.7282999932765961,0.0734289741238295,0.0019975132465362548
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,7,0.7620000243186951,0.8339999914169312,0.6539999842643738,0.5720000267028809,0.6480000019073486,0.6629999876022339,0.7940000295639038,0.7590000033378601,0.8180000185966492,0.8009999990463257,0.7305,0.75,0.6872000098228455,0.8095000088214874,0.7305000066757202,0.04897068548253027,0.0020860805094242096
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,8,0.765999972820282,0.8190000057220459,0.6600000262260437,0.5720000267028809,0.6579999923706055,0.6460000276565552,0.8080000281333923,0.7670000195503235,0.8140000104904175,0.8109999895095825,0.7321,0.7483333349227905,0.6902000188827515,0.8125,0.7321000099182129,0.033852907828986645,0.0021436454713344576
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,9,0.7639999985694885,0.8360000252723694,0.6779999732971191,0.5809999704360962,0.652999997138977,0.6420000195503235,0.796999990940094,0.7480000257492065,0.8289999961853027,0.800000011920929,0.7328,0.759333332379659,0.6842000007629394,0.8145000040531158,0.7328000009059906,0.025558321042207337,0.002168243682384491
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,10,0.781000018119812,0.8410000205039978,0.6690000295639038,0.5659999847412109,0.6790000200271606,0.6430000066757202,0.8159999847412109,0.7670000195503235,0.8209999799728394,0.796999990940094,0.738,0.7636666893959045,0.6942000031471253,0.8089999854564667,0.7380000054836273,0.019747848922418335,0.002247330462932587
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,11,0.7699999809265137,0.824999988079071,0.6499999761581421,0.5889999866485596,0.671999990940094,0.6309999823570251,0.8100000023841858,0.7540000081062317,0.8379999995231628,0.7990000247955322,0.7338,0.7483333150545756,0.6911999940872192,0.8185000121593475,0.7337999939918518,0.01700669524686064,0.0023057141780853272
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,12,0.7710000276565552,0.8399999737739563,0.6800000071525574,0.5849999785423279,0.6629999876022339,0.6370000243186951,0.7979999780654907,0.7549999952316284,0.8309999704360962,0.800000011920929,0.736,0.7636666695276896,0.6875999927520752,0.8154999911785126,0.735999995470047,0.014324381418715594,0.002351262903213501
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,13,0.7670000195503235,0.8330000042915344,0.6759999990463257,0.5929999947547913,0.6909999847412109,0.6370000243186951,0.8080000281333923,0.7509999871253967,0.8429999947547913,0.8050000071525574,0.7404,0.7586666742960612,0.6960000038146973,0.8240000009536743,0.7404000043869019,0.012842518672094507,0.0023833879947662354
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,14,0.7710000276565552,0.8309999704360962,0.6930000185966492,0.5830000042915344,0.6809999942779541,0.6399999856948853,0.7950000166893005,0.7609999775886536,0.8230000138282776,0.8130000233650208,0.7391,0.7650000055631002,0.6919999957084656,0.8180000185966492,0.7391000032424927,0.010384673023817398,0.002423537123203278
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,15,0.7829999923706055,0.828000009059906,0.6650000214576721,0.5699999928474426,0.675000011920929,0.6449999809265137,0.8080000281333923,0.7639999985694885,0.8270000219345093,0.8069999814033508,0.7372,0.7586666742960612,0.6924000024795532,0.81700000166893,0.7372000038623809,0.011182344921122668,0.0024796045124530794
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,16,0.7870000004768372,0.8309999704360962,0.6850000023841858,0.5860000252723694,0.6639999747276306,0.6349999904632568,0.7940000295639038,0.75,0.8389999866485596,0.7990000247955322,0.737,0.7676666577657064,0.6858000040054322,0.8190000057220459,0.7370000004768371,0.008558640153920752,0.0025268882751464843
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,17,0.7829999923706055,0.828000009059906,0.6840000152587891,0.5669999718666077,0.6949999928474426,0.6589999794960022,0.7839999794960022,0.7490000128746033,0.8349999785423279,0.8130000233650208,0.7397,0.7650000055631002,0.6907999873161316,0.8240000009536743,0.7396999955177307,0.008103993101740035,0.002526954114437103
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,18,0.7699999809265137,0.8299999833106995,0.6819999814033508,0.5640000104904175,0.6759999990463257,0.6539999842643738,0.8050000071525574,0.7630000114440918,0.8199999928474426,0.8190000057220459,0.7383,0.7606666485468546,0.6924000024795532,0.8194999992847443,0.7382999956607819,0.010005713365498489,0.002575023913383484
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,19,0.7829999923706055,0.8339999914169312,0.6909999847412109,0.5609999895095825,0.6669999957084656,0.6679999828338623,0.8069999814033508,0.7559999823570251,0.8109999895095825,0.7960000038146973,0.7374,0.7693333228429159,0.6917999863624573,0.8034999966621399,0.7373999893665314,0.009135610644973941,0.0026086487531661985
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,20,0.7879999876022339,0.8339999914169312,0.6710000038146973,0.5559999942779541,0.6639999747276306,0.6499999761581421,0.8059999942779541,0.781000018119812,0.8379999995231628,0.8090000152587891,0.7397,0.7643333276112875,0.6913999915122986,0.823500007390976,0.7396999955177307,0.008331833837427577,0.002627674424648285
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,21,0.7889999747276306,0.8379999995231628,0.6919999718666077,0.5979999899864197,0.6830000281333923,0.640999972820282,0.7929999828338623,0.765999972820282,0.8399999737739563,0.7900000214576721,0.743,0.7729999820391337,0.6961999893188476,0.8149999976158142,0.7429999887943268,0.007579292731075469,0.0026609476566314696
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,22,0.7730000019073486,0.8460000157356262,0.6650000214576721,0.5820000171661377,0.6740000247955322,0.6370000243186951,0.8100000023841858,0.7689999938011169,0.843999981880188,0.7990000247955322,0.7399,0.7613333463668823,0.6944000124931335,0.8215000033378601,0.7399000108242035,0.014812120031249725,0.0026778143405914306
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,23,0.7799999713897705,0.8500000238418579,0.675000011920929,0.5640000104904175,0.6570000052452087,0.656000018119812,0.8109999895095825,0.7770000100135803,0.8399999737739563,0.800000011920929,0.741,0.7683333357175192,0.6930000066757203,0.8199999928474426,0.7410000026226043,0.014425225283603295,0.002720876169204712
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,24,0.8009999990463257,0.8100000023841858,0.6600000262260437,0.5860000252723694,0.6909999847412109,0.597000002861023,0.8180000185966492,0.7760000228881836,0.8169999718666077,0.8130000233650208,0.7369,0.7570000092188517,0.6936000108718872,0.8149999976158142,0.7369000077247619,0.022171690618082628,0.0027636991381645203
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,25,0.7670000195503235,0.8119999766349792,0.6729999780654907,0.5809999704360962,0.6959999799728394,0.6010000109672546,0.8009999990463257,0.7450000047683716,0.8460000157356262,0.8109999895095825,0.7333,0.7506666580835978,0.6847999930381775,0.8285000026226044,0.733299994468689,0.036772588157426504,0.0025991464495658877
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,26,0.7820000052452087,0.824999988079071,0.6830000281333923,0.5899999737739563,0.6600000262260437,0.6629999876022339,0.8050000071525574,0.7490000128746033,0.8330000042915344,0.8029999732971191,0.7393,0.7633333404858907,0.6934000015258789,0.8179999887943268,0.7393000006675721,0.043790035707465674,0.002531255292892456
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,27,0.7910000085830688,0.8500000238418579,0.6940000057220459,0.5870000123977661,0.6759999990463257,0.6620000004768372,0.8090000152587891,0.7580000162124634,0.843999981880188,0.8009999990463257,0.7472,0.7783333460489908,0.6984000086784363,0.8224999904632568,0.7472000062465668,0.022002558863200877,0.0025006544232368468
