sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,0,0.5809999704360962,0.7260000109672546,0.3529999852180481,0.3179999887943268,0.37700000405311584,0.5559999942779541,0.6510000228881836,0.6269999742507935,0.6380000114440918,0.6240000128746033,0.5451,0.6446666518847147,0.5692000091075897,0.33549998700618744,0.5450999975204468,1.8917334577705287,0.0026634448170661925
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,1,0.7369999885559082,0.8100000023841858,0.5410000085830688,0.4650000035762787,0.5979999899864197,0.6269999742507935,0.7620000243186951,0.7070000171661377,0.7839999794960022,0.7710000276565552,0.6802,0.6959999998410543,0.6318000018596649,0.7775000035762787,0.6802000015974045,0.9684070311015165,0.0018499851644039153
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,2,0.7570000290870667,0.8320000171661377,0.5899999737739563,0.5680000185966492,0.6190000176429749,0.6169999837875366,0.8080000281333923,0.7609999775886536,0.8230000138282776,0.7580000162124634,0.7133,0.7263333400090536,0.6746000051498413,0.7905000150203705,0.7133000075817109,0.5535348672655565,0.0016978163957595824
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,3,0.7770000100135803,0.847000002861023,0.6119999885559082,0.5580000281333923,0.6679999828338623,0.6380000114440918,0.8080000281333923,0.7720000147819519,0.8349999785423279,0.7910000085830688,0.7306,0.7453333338101705,0.6888000130653381,0.8129999935626984,0.7306000053882599,0.3202016368696961,0.0017141907513141632
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,4,0.7850000262260437,0.824999988079071,0.6470000147819519,0.5870000123977661,0.6600000262260437,0.628000020980835,0.8059999942779541,0.7829999923706055,0.8429999947547913,0.7870000004768372,0.7351,0.7523333430290222,0.6928000092506409,0.8149999976158142,0.7351000070571899,0.18661821171452728,0.0018016244113445283
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,5,0.7929999828338623,0.8550000190734863,0.6629999876022339,0.597000002861023,0.6790000200271606,0.652999997138977,0.8220000267028809,0.7649999856948853,0.8289999961853027,0.7900000214576721,0.7446,0.7703333298365275,0.7032000064849854,0.8095000088214874,0.7446000039577484,0.11621932977739768,0.0018697423160076141
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,6,0.7720000147819519,0.8560000061988831,0.6380000114440918,0.5630000233650208,0.6629999876022339,0.6629999876022339,0.8180000185966492,0.7870000004768372,0.8600000143051147,0.8180000185966492,0.7438,0.7553333441416422,0.698800003528595,0.839000016450882,0.7438000082969666,0.08323444548664213,0.0019749647498130797
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,7,0.777999997138977,0.8569999933242798,0.6370000243186951,0.574999988079071,0.6930000185966492,0.6690000295639038,0.8220000267028809,0.7940000295639038,0.8560000061988831,0.8040000200271606,0.7485,0.7573333382606506,0.7106000185012817,0.8300000131130219,0.7485000133514405,0.06176805889964858,0.002036446762084961
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,8,0.8029999732971191,0.847000002861023,0.6499999761581421,0.5440000295639038,0.6779999732971191,0.6880000233650208,0.8259999752044678,0.8109999895095825,0.8429999947547913,0.8180000185966492,0.7508,0.7666666507720947,0.7093999981880188,0.8305000066757202,0.7507999956607818,0.043912798213430596,0.002111884182691574
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,9,0.7960000038146973,0.847000002861023,0.6570000052452087,0.5730000138282776,0.6980000138282776,0.6700000166893005,0.8140000104904175,0.8009999990463257,0.8619999885559082,0.8169999718666077,0.7535,0.7666666706403097,0.7112000107765197,0.8394999802112579,0.7535000026226044,0.044741192431766774,0.002156696951389313
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,10,0.8090000152587891,0.8529999852180481,0.6729999780654907,0.5590000152587891,0.6779999732971191,0.652999997138977,0.8399999737739563,0.7900000214576721,0.847000002861023,0.8149999976158142,0.7517,0.778333326180776,0.7039999961853027,0.8310000002384186,0.7516999959945678,0.03830488337368905,0.002229239171743393
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,11,0.8080000281333923,0.8669999837875366,0.6620000004768372,0.5580000281333923,0.6869999766349792,0.6930000185966492,0.8330000042915344,0.7940000295639038,0.8510000109672546,0.8050000071525574,0.7558,0.7790000041325887,0.7130000114440918,0.828000009059906,0.7558000087738037,0.039274858499440964,0.0022857514798641206
