sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,0,0.07100000232458115,0.09200000017881393,0.02800000086426735,0.4189999997615814,0.17800000309944153,0.3100000023841858,0.3109999895095825,0.28999999165534973,0.09000000357627869,0.13199999928474426,0.1921,0.30233333508173627,0.17079999744892121,0.0800000000745058,0.19209999926388263,2.251151281854381,0.004417540836334229
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,1,0.10899999737739563,0.09099999815225601,0.010999999940395355,0.4790000021457672,0.28200000524520874,0.48100000619888306,0.5920000076293945,0.38499999046325684,0.15299999713897705,0.1599999964237213,0.2743,0.070333331823349,0.4438000023365021,0.15649999678134918,0.27430000007152555,1.8719933965931768,0.00417119550704956
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,2,0.1469999998807907,0.20000000298023224,0.01899999938905239,0.5120000243186951,0.4269999861717224,0.47999998927116394,0.6539999842643738,0.6079999804496765,0.35600000619888306,0.3059999942779541,0.3709,0.12200000075002511,0.5361999928951263,0.3310000002384186,0.3708999967202544,1.4381033596785173,0.003796560561656952
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,3,0.2540000081062317,0.3490000069141388,0.04500000178813934,0.48500001430511475,0.4950000047683716,0.5680000185966492,0.6980000138282776,0.6620000004768372,0.5189999938011169,0.43299999833106995,0.4508,0.2160000056028366,0.58160001039505,0.47599999606609344,0.4508000060915947,1.0353614817494932,0.0033957290530204774
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,4,0.3490000069141388,0.515999972820282,0.07000000029802322,0.503000020980835,0.5569999814033508,0.5799999833106995,0.7350000143051147,0.6639999747276306,0.5929999947547913,0.4779999852180481,0.5045,0.31166666001081467,0.6077999949455262,0.5354999899864197,0.5044999934732914,0.7330853109774382,0.003059639596939087
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,5,0.42500001192092896,0.5770000219345093,0.11900000274181366,0.5299999713897705,0.5770000219345093,0.574999988079071,0.75,0.6579999923706055,0.5950000286102295,0.5130000114440918,0.5319,0.3736666788657506,0.6179999947547913,0.5540000200271606,0.531900005042553,0.4946195858976115,0.002887397253513336
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,6,0.4580000042915344,0.5889999866485596,0.1850000023841858,0.5559999942779541,0.578000009059906,0.574999988079071,0.7839999794960022,0.6759999990463257,0.6399999856948853,0.5429999828338623,0.5584,0.4106666644414266,0.6337999939918518,0.5914999842643738,0.5583999931812287,0.336522471645604,0.002824797534942627
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,7,0.46299999952316284,0.6169999837875366,0.2280000001192093,0.5450000166893005,0.6060000061988831,0.5720000267028809,0.7820000052452087,0.6740000247955322,0.6340000033378601,0.5410000085830688,0.5662,0.43599999447663623,0.635800015926361,0.5875000059604645,0.5662000074982643,0.23213943579922552,0.002808514428138733
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,8,0.5120000243186951,0.6370000243186951,0.25699999928474426,0.527999997138977,0.5889999866485596,0.578000009059906,0.7900000214576721,0.6800000071525574,0.6380000114440918,0.5519999861717224,0.5761,0.4686666826407115,0.6330000042915345,0.5949999988079071,0.5761000066995621,0.15694880485534668,0.002770591843128204
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.9-0.9-0.9-0-0-0-0-0-0-0,9,0.5230000019073486,0.6430000066757202,0.2840000092983246,0.5410000085830688,0.5669999718666077,0.5989999771118164,0.7929999828338623,0.6859999895095825,0.6510000228881836,0.5759999752044678,0.5863,0.4833333392937978,0.6371999859809876,0.6134999990463257,0.5862999945878983,0.11162357356237329,0.002775512170791626
