sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,0,0.6489999890327454,0.828000009059906,0.5529999732971191,0.09799999743700027,0.09099999815225601,0.2199999988079071,0.34200000762939453,0.06300000101327896,0.0010000000474974513,0.0010000000474974513,0.2846,0.6766666571299235,0.16280000060796737,0.0010000000474974513,0.28459999745246023,2.1304035519444664,0.004413551712036133
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,1,0.7990000247955322,0.8529999852180481,0.6520000100135803,0.28700000047683716,0.28999999165534973,0.4020000100135803,0.5910000205039978,0.22699999809265137,0.0,0.014999999664723873,0.4116,0.7680000066757202,0.3594000041484833,0.007499999832361937,0.4116000040434301,1.4168506167655768,0.003552744817733765
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,2,0.8389999866485596,0.8830000162124634,0.6460000276565552,0.3779999911785126,0.43700000643730164,0.4740000069141388,0.6480000019073486,0.550000011920929,0.03099999949336052,0.09099999815225601,0.4977,0.7893333435058594,0.4974000036716461,0.060999998822808266,0.49770000465214254,0.9165047476457995,0.003030461835861206
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,3,0.8450000286102295,0.8889999985694885,0.6629999876022339,0.43700000643730164,0.5230000019073486,0.492000013589859,0.6840000152587891,0.5910000205039978,0.1379999965429306,0.22699999809265137,0.5489,0.7990000049273173,0.5454000115394593,0.18249999731779099,0.548900006711483,0.5774909479673519,0.002822482430934906
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,4,0.8320000171661377,0.8830000162124634,0.6740000247955322,0.45899999141693115,0.5490000247955322,0.5139999985694885,0.7200000286102295,0.652999997138977,0.23899999260902405,0.33399999141693115,0.5857,0.7963333527247111,0.5790000081062316,0.2864999920129776,0.5857000082731247,0.3580342489619588,0.002682371485233307
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,5,0.828000009059906,0.8840000033378601,0.6840000152587891,0.4740000069141388,0.5709999799728394,0.5410000085830688,0.7200000286102295,0.6690000295639038,0.3140000104904175,0.37700000405311584,0.6062,0.7986666758855184,0.595000010728836,0.34550000727176666,0.6062000095844269,0.21396394593771115,0.002706685829162598
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,6,0.828000009059906,0.8870000243186951,0.6949999928474426,0.5090000033378601,0.5740000009536743,0.5299999713897705,0.7310000061988831,0.6669999957084656,0.3540000021457672,0.41100001335144043,0.6186,0.8033333420753479,0.6021999955177307,0.3825000077486038,0.6186000019311905,0.13232022229322168,0.002765625023841858
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,7,0.8259999752044678,0.8880000114440918,0.6909999847412109,0.4860000014305115,0.578000009059906,0.5640000104904175,0.722000002861023,0.6729999780654907,0.37400001287460327,0.42800000309944153,0.623,0.8016666571299235,0.6046000003814698,0.4010000079870224,0.6229999989271164,0.08376357817026071,0.002812367844581604
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,8,0.8349999785423279,0.8830000162124634,0.6830000281333923,0.48500001430511475,0.5920000076293945,0.5590000152587891,0.7480000257492065,0.6790000200271606,0.39100000262260437,0.42100000381469727,0.6276,0.8003333409627279,0.6126000165939331,0.4060000032186508,0.627600011229515,0.05232583670768627,0.002902310609817505
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,9,0.8220000267028809,0.8859999775886536,0.6909999847412109,0.4740000069141388,0.5989999771118164,0.5720000267028809,0.7350000143051147,0.6899999976158142,0.39899998903274536,0.46700000762939453,0.6335,0.7996666630109152,0.614000004529953,0.43299999833106995,0.633500000834465,0.03752802386013574,0.0029407971143722536
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,10,0.8420000076293945,0.8840000033378601,0.699999988079071,0.48100000619888306,0.597000002861023,0.5440000295639038,0.746999979019165,0.6830000281333923,0.38100001215934753,0.4449999928474426,0.6304,0.8086666663487753,0.6104000091552735,0.4130000025033951,0.6304000049829483,0.030551639732060043,0.0030484033226966857
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,11,0.828000009059906,0.8989999890327454,0.7110000252723694,0.5049999952316284,0.5849999785423279,0.5569999814033508,0.7250000238418579,0.6800000071525574,0.4000000059604645,0.42100000381469727,0.6311,0.812666674455007,0.6103999972343445,0.41050000488758087,0.6311000019311905,0.022006685369063254,0.003143611001968384
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,12,0.8429999947547913,0.8880000114440918,0.7120000123977661,0.5090000033378601,0.5870000123977661,0.5630000233650208,0.7450000047683716,0.6740000247955322,0.39899998903274536,0.421999990940094,0.6342,0.8143333395322164,0.6156000137329102,0.4104999899864197,0.6342000067234039,0.018400505553324554,0.0032075246810913086
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,13,0.8360000252723694,0.8830000162124634,0.7139999866485596,0.5040000081062317,0.6079999804496765,0.5529999732971191,0.746999979019165,0.6710000038146973,0.4090000092983246,0.4490000009536743,0.6374,0.8110000093777975,0.6165999889373779,0.42900000512599945,0.637399998307228,0.01760369658383519,0.003239354193210602
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,14,0.8420000076293945,0.8830000162124634,0.7149999737739563,0.4880000054836273,0.6010000109672546,0.550000011920929,0.7440000176429749,0.6700000166893005,0.4020000100135803,0.4519999921321869,0.6347,0.8133333325386047,0.6106000125408173,0.4270000010728836,0.6347000062465668,0.014003767523654672,0.0032694769620895386
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,15,0.8429999947547913,0.8980000019073486,0.7229999899864197,0.4869999885559082,0.5740000009536743,0.5699999928474426,0.753000020980835,0.6740000247955322,0.4090000092983246,0.4410000145435333,0.6372,0.8213333288828532,0.6116000056266785,0.42500001192092896,0.637200003862381,0.011468771325294362,0.0033504380702972414
