sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,0,0.7429999709129333,0.8519999980926514,0.5379999876022339,0.1379999965429306,0.11900000274181366,0.26499998569488525,0.10100000351667404,0.07000000029802322,0.0010000000474974513,0.00800000037997961,0.2835,0.7109999855359396,0.13859999775886536,0.004500000213738531,0.28349999458296227,2.0629215961278873,0.004484390735626221
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,1,0.8059999942779541,0.8740000128746033,0.7139999866485596,0.34599998593330383,0.2980000078678131,0.4339999854564667,0.37400001287460327,0.2980000078678131,0.017999999225139618,0.04800000041723251,0.421,0.7979999979337057,0.35,0.032999999821186066,0.4209999993443489,1.3692960240120111,0.0034527621984481813
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,2,0.8270000219345093,0.8999999761581421,0.6539999842643738,0.4410000145435333,0.5180000066757202,0.503000020980835,0.5699999928474426,0.5879999995231628,0.11500000208616257,0.20200000703334808,0.5318,0.793666660785675,0.5240000069141388,0.15850000455975533,0.5318000026047229,0.8767477149187133,0.0028806207180023195
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,3,0.8180000185966492,0.8980000019073486,0.6990000009536743,0.4259999990463257,0.4970000088214874,0.5569999814033508,0.6629999876022339,0.6230000257492065,0.20600000023841858,0.29899999499320984,0.5686,0.8050000071525574,0.5532000005245209,0.2524999976158142,0.5686000019311905,0.5302999837453976,0.0026726555585861204
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,4,0.8230000138282776,0.8899999856948853,0.6859999895095825,0.44600000977516174,0.5509999990463257,0.5730000138282776,0.6880000233650208,0.6460000276565552,0.30399999022483826,0.3580000102519989,0.5965,0.7996666630109152,0.5808000147342682,0.3310000002384186,0.5965000063180923,0.31013777574827506,0.002617850387096405
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,5,0.8289999961853027,0.8870000243186951,0.7039999961853027,0.48500001430511475,0.5789999961853027,0.5519999861717224,0.7049999833106995,0.6650000214576721,0.33399999141693115,0.39100000262260437,0.6131,0.8066666722297668,0.5972000002861023,0.36249999701976776,0.6131000012159348,0.1760404667882032,0.0026665377020835875
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,6,0.8379999995231628,0.8889999985694885,0.6940000057220459,0.460999995470047,0.5910000205039978,0.5659999847412109,0.7099999785423279,0.6740000247955322,0.3630000054836273,0.4269999861717224,0.6213,0.8070000012715658,0.6004000008106232,0.39499999582767487,0.6212999999523163,0.10474799209555914,0.0027312822222709658
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,7,0.8339999914169312,0.8999999761581421,0.7070000171661377,0.46799999475479126,0.5809999704360962,0.5720000267028809,0.7149999737739563,0.6790000200271606,0.39399999380111694,0.4429999887943268,0.6293,0.8136666615804037,0.602999997138977,0.41849999129772186,0.629299995303154,0.06413260552772256,0.0027810666680336
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,8,0.8299999833106995,0.8870000243186951,0.7239999771118164,0.46000000834465027,0.5799999833106995,0.5709999799728394,0.7170000076293945,0.6899999976158142,0.3869999945163727,0.45399999618530273,0.63,0.8136666615804037,0.6035999953746796,0.4204999953508377,0.6299999952316284,0.044675841364403106,0.0028641189098358153
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,9,0.8309999704360962,0.8960000276565552,0.7129999995231628,0.460999995470047,0.593999981880188,0.5879999995231628,0.7250000238418579,0.6909999847412109,0.3930000066757202,0.4350000023841858,0.6327,0.8133333325386047,0.6117999970912933,0.414000004529953,0.6326999992132187,0.031609532661562745,0.0029514724016189574
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,10,0.8339999914169312,0.8949999809265137,0.7139999866485596,0.48899999260902405,0.5910000205039978,0.578000009059906,0.7279999852180481,0.6880000233650208,0.414000004529953,0.44999998807907104,0.6381,0.8143333196640015,0.6148000061511993,0.431999996304512,0.6380999982357025,0.022847964060167935,0.003029051673412323
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,11,0.8379999995231628,0.8949999809265137,0.7229999899864197,0.47999998927116394,0.5830000042915344,0.5730000138282776,0.7350000143051147,0.6729999780654907,0.4000000059604645,0.4560000002384186,0.6356,0.8186666568120321,0.6087999999523163,0.42800000309944153,0.635599997639656,0.018104932054357474,0.0031049281001091006
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,12,0.8299999833106995,0.8960000276565552,0.7120000123977661,0.4740000069141388,0.6000000238418579,0.5899999737739563,0.7300000190734863,0.6880000233650208,0.42800000309944153,0.4569999873638153,0.6405,0.812666674455007,0.616400009393692,0.4424999952316284,0.6405000060796737,0.016501605001733054,0.003127916634082794
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,13,0.8259999752044678,0.9049999713897705,0.7179999947547913,0.48399999737739563,0.5960000157356262,0.5820000171661377,0.7350000143051147,0.7020000219345093,0.414000004529953,0.46399998664855957,0.6426,0.8163333137830099,0.6198000133037567,0.4389999955892563,0.6425999999046326,0.01311114696829125,0.0032146426200866697
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,14,0.8420000076293945,0.8980000019073486,0.699999988079071,0.5040000081062317,0.5830000042915344,0.5789999961853027,0.7369999885559082,0.7099999785423279,0.41100001335144043,0.4729999899864197,0.6437,0.8133333325386047,0.622599995136261,0.44200000166893005,0.643699997663498,0.010419534454338773,0.0032046179056167603
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,15,0.8389999866485596,0.8889999985694885,0.7269999980926514,0.48899999260902405,0.5929999947547913,0.5839999914169312,0.7300000190734863,0.7049999833106995,0.4099999964237213,0.47099998593330383,0.6437,0.8183333277702332,0.6201999962329865,0.4404999911785126,0.6436999946832657,0.009129617054578524,0.0032990819692611693
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,16,0.8270000219345093,0.8970000147819519,0.7139999866485596,0.49399998784065247,0.5789999961853027,0.5740000009536743,0.7490000128746033,0.6970000267028809,0.40700000524520874,0.4560000002384186,0.6394,0.812666674455007,0.6186000049114228,0.43150000274181366,0.6394000053405762,0.007217728013042794,0.003354041290283203
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,17,0.8349999785423279,0.8989999890327454,0.7160000205039978,0.4819999933242798,0.5849999785423279,0.5839999914169312,0.7390000224113464,0.7129999995231628,0.4099999964237213,0.4779999852180481,0.6441,0.8166666626930237,0.6205999970436096,0.4439999908208847,0.6440999954938889,0.007225825088531818,0.0033850300312042235
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,18,0.8370000123977661,0.9049999713897705,0.7080000042915344,0.4909999966621399,0.5820000171661377,0.5849999785423279,0.7490000128746033,0.7049999833106995,0.4399999976158142,0.45500001311302185,0.6457,0.8166666626930237,0.6223999977111816,0.44750000536441803,0.6456999987363815,0.006987186105445374,0.0033996150851249695
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,19,0.847000002861023,0.8999999761581421,0.6940000057220459,0.49300000071525574,0.5929999947547913,0.5820000171661377,0.7429999709129333,0.6899999976158142,0.4490000009536743,0.4729999899864197,0.6464,0.8136666615804037,0.6201999962329865,0.460999995470047,0.6463999956846237,0.007793862524247447,0.0033983557105064393
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.2-0.2-0.2-0-0-0-0-0-0-0,20,0.8429999947547913,0.9070000052452087,0.7200000286102295,0.4830000102519989,0.5690000057220459,0.5730000138282776,0.7350000143051147,0.7070000171661377,0.40799999237060547,0.4580000042915344,0.6403,0.8233333428700765,0.613400012254715,0.43299999833106995,0.6403000086545945,0.00694945955995557,0.0035053617358207704
