sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,0,0.7689999938011169,0.8519999980926514,0.640999972820282,0.09099999815225601,0.12700000405311584,0.1809999942779541,0.1379999965429306,0.05299999937415123,0.0,0.0,0.2852,0.7539999882380167,0.11799999848008155,0.0,0.28519999571144583,2.0036292538350944,0.004623671555519104
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,1,0.824999988079071,0.9020000100135803,0.7310000061988831,0.257999986410141,0.328000009059906,0.414000004529953,0.531000018119812,0.3100000023841858,0.00800000037997961,0.004999999888241291,0.4312,0.8193333347638448,0.36820000410079956,0.006500000134110451,0.4312000025063753,1.268078621552915,0.0035484389185905458
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,2,0.8379999995231628,0.9169999957084656,0.7519999742507935,0.3790000081062317,0.4620000123977661,0.4830000102519989,0.6320000290870667,0.5759999752044678,0.01899999938905239,0.03799999877810478,0.5096,0.8356666564941406,0.5064000070095063,0.028499999083578587,0.509600000269711,0.7964188237579501,0.0030362372517585756
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,3,0.8629999756813049,0.9139999747276306,0.7409999966621399,0.43299999833106995,0.4830000102519989,0.515999972820282,0.703000009059906,0.6299999952316284,0.10199999809265137,0.15600000321865082,0.5541,0.8393333156903585,0.5529999971389771,0.1290000006556511,0.5540999934077263,0.4898411278821984,0.002803918719291687
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,4,0.8500000238418579,0.9160000085830688,0.7379999756813049,0.4339999854564667,0.5230000019073486,0.5609999895095825,0.7099999785423279,0.6639999747276306,0.21400000154972076,0.28999999165534973,0.59,0.8346666693687439,0.5783999860286713,0.25199999660253525,0.5899999931454658,0.2933370686915456,0.002690053129196167
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,5,0.8519999980926514,0.9169999957084656,0.7409999966621399,0.4749999940395355,0.5379999876022339,0.5440000295639038,0.7310000061988831,0.6710000038146973,0.27900001406669617,0.3199999928474426,0.6068,0.8366666634877523,0.5918000042438507,0.2995000034570694,0.6068000018596649,0.16610701868728717,0.0027607155323028563
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,6,0.8539999723434448,0.9039999842643738,0.7379999756813049,0.4650000035762787,0.5540000200271606,0.5699999928474426,0.7329999804496765,0.6809999942779541,0.31299999356269836,0.367000013589859,0.6179,0.8319999774297079,0.6005999982357025,0.3400000035762787,0.6178999930620194,0.09787740117433119,0.0028197908401489257
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,7,0.8560000061988831,0.9120000004768372,0.7590000033378601,0.453000009059906,0.5569999814033508,0.5659999847412109,0.7419999837875366,0.6660000085830688,0.3230000138282776,0.35199999809265137,0.6186,0.8423333366711935,0.5967999935150147,0.3375000059604645,0.6185999989509583,0.061825125345161984,0.0029716835498809816
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,8,0.8550000190734863,0.9089999794960022,0.7549999952316284,0.46000000834465027,0.5659999847412109,0.5630000233650208,0.722000002861023,0.6899999976158142,0.35499998927116394,0.3970000147819519,0.6272,0.8396666646003723,0.6002000033855438,0.3760000020265579,0.6272000014781952,0.04091880527534047,0.0029725693464279176
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0-0-0-0-0-0-0-0-0-0,9,0.8510000109672546,0.9139999747276306,0.7570000290870667,0.4490000009536743,0.5559999942779541,0.5600000023841858,0.7429999709129333,0.6790000200271606,0.3610000014305115,0.36899998784065247,0.6239,0.840666671593984,0.5973999977111817,0.36499999463558197,0.6238999992609024,0.030071128007708763,0.003130293917655945
