sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,0,0.2619999945163727,0.2070000022649765,0.18700000643730164,0.4569999873638153,0.3310000002384186,0.5289999842643738,0.09799999743700027,0.1120000034570694,0.03400000184774399,0.26100000739097595,0.2478,0.4389999906222026,0.20580000281333924,0.06599999964237213,0.24779999852180482,2.2167437076568604,0.004151359176635742
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,1,0.5770000219345093,0.4699999988079071,0.3889999985694885,0.44699999690055847,0.5870000123977661,0.5509999990463257,0.3100000023841858,0.3310000002384186,0.041999999433755875,0.5550000071525574,0.4259,0.4786666731039683,0.4452000021934509,0.2985000032931566,0.4259000036865473,1.7579674964048424,0.0032344285368919373
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,2,0.6570000052452087,0.6200000047683716,0.5059999823570251,0.503000020980835,0.5860000252723694,0.5690000057220459,0.4690000116825104,0.4950000047683716,0.14800000190734863,0.6370000243186951,0.519,0.5943333307902018,0.5244000136852265,0.39250001311302185,0.5190000087022781,1.268789113784323,0.002678051424026489
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,3,0.703000009059906,0.6729999780654907,0.5540000200271606,0.550000011920929,0.5910000205039978,0.574999988079071,0.5529999732971191,0.5580000281333923,0.22699999809265137,0.6850000023841858,0.5669,0.6433333357175192,0.5654000043869019,0.4560000002384186,0.5669000029563904,0.8834549176449679,0.002429485332965851
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,4,0.6759999990463257,0.722000002861023,0.5839999914169312,0.5220000147819519,0.5929999947547913,0.5960000157356262,0.6019999980926514,0.5899999737739563,0.32600000500679016,0.6890000104904175,0.59,0.6606666644414266,0.5805999994277954,0.5075000077486038,0.5900000005960464,0.5944793589261114,0.002334887719154358
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,5,0.6940000057220459,0.7319999933242798,0.5989999771118164,0.5210000276565552,0.5950000286102295,0.6290000081062317,0.5979999899864197,0.6269999742507935,0.40799999237060547,0.6840000152587891,0.6087,0.674999992052714,0.5940000057220459,0.5460000038146973,0.6087000012397766,0.3764445708722484,0.002313885736465454
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,6,0.6769999861717224,0.75,0.5849999785423279,0.5120000243186951,0.6039999723434448,0.6420000195503235,0.6359999775886536,0.6299999952316284,0.49900001287460327,0.6959999799728394,0.6231,0.6706666549046835,0.604799997806549,0.5974999964237213,0.6230999946594238,0.22968899869188972,0.002321408247947693
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,7,0.7170000076293945,0.7459999918937683,0.574999988079071,0.5320000052452087,0.6019999980926514,0.6230000257492065,0.6679999828338623,0.6370000243186951,0.4830000102519989,0.6899999976158142,0.6273,0.6793333292007446,0.6124000072479248,0.5865000039339066,0.6273000031709671,0.1393398523938899,0.0024076979398727416
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,8,0.6899999976158142,0.7519999742507935,0.5929999947547913,0.5419999957084656,0.6140000224113464,0.6240000128746033,0.6740000247955322,0.6370000243186951,0.5109999775886536,0.6940000057220459,0.6331,0.6783333222071329,0.6182000160217285,0.6024999916553497,0.6331000030040741,0.08747655609432532,0.0024727455615997313
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,9,0.7009999752044678,0.7609999775886536,0.5920000076293945,0.5440000295639038,0.6240000128746033,0.6370000243186951,0.6570000052452087,0.6470000147819519,0.4880000054836273,0.7049999833106995,0.6356,0.684666653474172,0.6218000173568725,0.5964999943971634,0.6356000036001206,0.05876721624208956,0.002554105854034424
