sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0,0.3959999978542328,0.36500000953674316,0.24199999868869781,0.024000000208616257,0.03700000047683716,0.04699999839067459,0.019999999552965164,0.014999999664723873,0.00800000037997961,0.004999999888241291,0.1159,0.33433333535989124,0.02859999965876341,0.006500000134110451,0.11590000046417118,2.406674068801257,0.004691267490386963
5000-5000-5000-1825-1812-1803-1787-1773-501-499,1,0.37299999594688416,0.3310000002384186,0.3409999907016754,0.017000000923871994,0.029999999329447746,0.05999999865889549,0.017000000923871994,0.017999999225139618,0.0,0.0,0.1187,0.34833332896232605,0.02839999981224537,0.0,0.1186999985948205,2.1945698261260986,0.0046571384191513064
5000-5000-5000-1825-1812-1803-1787-1773-501-499,2,0.3540000021457672,0.38999998569488525,0.3919999897480011,0.01600000075995922,0.019999999552965164,0.026000000536441803,0.013000000268220901,0.008999999612569809,0.0,0.0,0.122,0.37866665919621784,0.01680000014603138,0.0,0.12199999783188105,1.978462350611784,0.004676640367507935
5000-5000-5000-1825-1812-1803-1787-1773-501-499,3,0.24199999868869781,0.40700000524520874,0.5929999947547913,0.00800000037997961,0.008999999612569809,0.013000000268220901,0.007000000216066837,0.00800000037997961,0.0,0.0,0.1287,0.4139999995628993,0.009000000171363353,0.0,0.12869999995455145,1.7572224091510384,0.004691903376579285
5000-5000-5000-1825-1812-1803-1787-1773-501-499,4,0.2849999964237213,0.4699999988079071,0.546999990940094,0.007000000216066837,0.0020000000949949026,0.004999999888241291,0.004000000189989805,0.004000000189989805,0.0,0.0,0.1324,0.43399999539057416,0.004400000115856529,0.0,0.1323999986751005,1.565390203680311,0.004728129124641418
5000-5000-5000-1825-1812-1803-1787-1773-501-499,5,0.2709999978542328,0.4650000035762787,0.5669999718666077,0.006000000052154064,0.00800000037997961,0.00800000037997961,0.008999999612569809,0.00800000037997961,0.0,0.0,0.1342,0.43433332443237305,0.007800000160932541,0.0,0.13419999741017818,1.423714291076271,0.004703366947174072
5000-5000-5000-1825-1812-1803-1787-1773-501-499,6,0.2669999897480011,0.44200000166893005,0.578000009059906,0.014999999664723873,0.035999998450279236,0.023000000044703484,0.017000000923871994,0.014999999664723873,0.0,0.0,0.1393,0.42900000015894574,0.02119999974966049,0.0,0.13929999992251396,1.2488598732315763,0.00464955940246582
5000-5000-5000-1825-1812-1803-1787-1773-501-499,7,0.23999999463558197,0.38600000739097595,0.6010000109672546,0.04800000041723251,0.029999999329447746,0.03400000184774399,0.024000000208616257,0.02199999988079071,0.0,0.0,0.1385,0.40900000433127087,0.03160000033676624,0.0,0.13850000146776437,1.1403386678014482,0.004664268636703491
5000-5000-5000-1825-1812-1803-1787-1773-501-499,8,0.2809999883174896,0.41600000858306885,0.4440000057220459,0.050999999046325684,0.12999999523162842,0.08500000089406967,0.08500000089406967,0.03999999910593033,0.0,0.0,0.1532,0.3803333342075348,0.07819999903440475,0.0,0.1531999997794628,1.052455447158035,0.004637455296516419
5000-5000-5000-1825-1812-1803-1787-1773-501-499,9,0.2879999876022339,0.47600001096725464,0.4449999928474426,0.08799999952316284,0.10899999737739563,0.06599999964237213,0.09600000083446503,0.04500000178813934,0.0,0.0,0.1613,0.40299999713897705,0.080799999833107,0.0,0.1612999990582466,0.9594138985385701,0.004700160026550293
5000-5000-5000-1825-1812-1803-1787-1773-501-499,10,0.2290000021457672,0.45399999618530273,0.3050000071525574,0.08100000023841858,0.19499999284744263,0.14100000262260437,0.16899999976158142,0.10000000149011612,0.0,0.0,0.1674,0.3293333351612091,0.13719999939203262,0.0,0.16740000024437904,0.9078081073809643,0.004654962158203125
5000-5000-5000-1825-1812-1803-1787-1773-501-499,11,0.289000004529953,0.453000009059906,0.2930000126361847,0.09399999678134918,0.17800000309944153,0.12300000339746475,0.20800000429153442,0.11699999868869781,0.0,0.0,0.1755,0.3450000087420146,0.14400000125169754,0.0,0.17550000324845313,0.7767020898814104,0.004705256724357605
5000-5000-5000-1825-1812-1803-1787-1773-501-499,12,0.17900000512599945,0.37299999594688416,0.20399999618530273,0.11299999803304672,0.20200000703334808,0.18199999630451202,0.3089999854564667,0.24500000476837158,0.0,0.0,0.1807,0.25199999908606213,0.210199998319149,0.0,0.18069999888539315,0.6857888357979911,0.004635049438476563
5000-5000-5000-1825-1812-1803-1787-1773-501-499,13,0.24199999868869781,0.3790000081062317,0.25099998712539673,0.15000000596046448,0.21299999952316284,0.1940000057220459,0.25099998712539673,0.15700000524520874,0.0,0.0,0.1837,0.29066666464010876,0.19300000071525575,0.0,0.1836999997496605,0.6164637504487621,0.004768448543548584
5000-5000-5000-1825-1812-1803-1787-1773-501-499,14,0.16599999368190765,0.41100001335144043,0.1889999955892563,0.13300000131130219,0.18299999833106995,0.1770000010728836,0.3330000042915344,0.28999999165534973,0.0,0.0,0.1882,0.2553333342075348,0.22319999933242798,0.0,0.18819999992847442,0.5985131335197663,0.004718312621116638
5000-5000-5000-1825-1812-1803-1787-1773-501-499,15,0.20200000703334808,0.4099999964237213,0.1770000010728836,0.13199999928474426,0.1899999976158142,0.1860000044107437,0.3370000123977661,0.28600001335144043,0.0,0.0,0.192,0.2630000015099843,0.22620000541210175,0.0,0.19200000315904617,0.4242480891395588,0.004710243010520935
5000-5000-5000-1825-1812-1803-1787-1773-501-499,16,0.1720000058412552,0.36000001430511475,0.15199999511241913,0.12800000607967377,0.1770000010728836,0.1850000023841858,0.3499999940395355,0.4090000092983246,0.0,0.0,0.1933,0.22800000508626303,0.24980000257492066,0.0,0.19330000281333923,0.3202502183160003,0.004717797446250916
5000-5000-5000-1825-1812-1803-1787-1773-501-499,17,0.1889999955892563,0.36399999260902405,0.14000000059604645,0.11999999731779099,0.2370000034570694,0.18799999356269836,0.3529999852180481,0.35600000619888306,0.0,0.0,0.1947,0.2309999962647756,0.25079999715089796,0.0,0.19469999745488167,0.25956782721439187,0.004810741591453552
5000-5000-5000-1825-1812-1803-1787-1773-501-499,18,0.1599999964237213,0.3089999854564667,0.1289999932050705,0.1120000034570694,0.14100000262260437,0.18000000715255737,0.3779999911785126,0.48100000619888306,0.0,0.0,0.189,0.1993333250284195,0.2584000021219254,0.0,0.18899999856948851,0.21515574678778648,0.0047069762468338015
5000-5000-5000-1825-1812-1803-1787-1773-501-499,19,0.18400000035762787,0.39100000262260437,0.13099999725818634,0.11500000208616257,0.16099999845027924,0.1679999977350235,0.3840000033378601,0.4090000092983246,0.0,0.0,0.1943,0.23533333341280618,0.24740000218153,0.0,0.19430000111460685,0.16909093219710855,0.0048545021772384645
5000-5000-5000-1825-1812-1803-1787-1773-501-499,20,0.1589999943971634,0.32199999690055847,0.12800000607967377,0.12700000405311584,0.1860000044107437,0.1979999989271164,0.38999998569488525,0.39899998903274536,0.0,0.0,0.1909,0.20299999912579855,0.2599999964237213,0.0,0.19089999794960022,0.1413499404657252,0.0047223339319229125
