sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,0,0.3889999985694885,0.19300000369548798,0.1860000044107437,0.06300000101327896,0.03700000047683716,0.03200000151991844,0.041999999433755875,0.05299999937415123,0.010999999940395355,0.032999999821186066,0.1039,0.25600000222524005,0.045400000363588336,0.02199999988079071,0.10390000082552434,2.3653976544737816,0.004649709939956665
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,1,0.35600000619888306,0.2709999978542328,0.29100000858306885,0.061000000685453415,0.07400000095367432,0.029999999329447746,0.028999999165534973,0.041999999433755875,0.007000000216066837,0.007000000216066837,0.1168,0.3060000042120616,0.047199999913573265,0.007000000216066837,0.11680000126361847,2.22551579028368,0.0046394640207290646
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,2,0.35100001096725464,0.32100000977516174,0.36800000071525574,0.04500000178813934,0.052000001072883606,0.029999999329447746,0.02500000037252903,0.03099999949336052,0.004000000189989805,0.0020000000949949026,0.1229,0.34666667381922406,0.03660000041127205,0.003000000142492354,0.1229000023799017,2.0571961253881454,0.004637609362602234
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,3,0.34599998593330383,0.38600000739097595,0.4259999990463257,0.0430000014603138,0.0430000014603138,0.027000000700354576,0.014000000432133675,0.013000000268220901,0.0020000000949949026,0.0020000000949949026,0.1302,0.38599999745686847,0.02800000086426735,0.0020000000949949026,0.1301999996881932,1.8598372638225555,0.004636079573631287
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,4,0.2930000126361847,0.4560000002384186,0.4560000002384186,0.03799999877810478,0.03099999949336052,0.020999999716877937,0.012000000104308128,0.013000000268220901,0.0,0.0010000000474974513,0.1321,0.40166667103767395,0.022999999672174455,0.0005000000237487257,0.13210000115213916,1.6517794504761696,0.004659231042861939
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,5,0.24500000476837158,0.48399999737739563,0.4950000047683716,0.04100000113248825,0.03099999949336052,0.017999999225139618,0.012000000104308128,0.010999999940395355,0.0,0.0,0.1337,0.40800000230471295,0.022599999979138374,0.0,0.13370000068098306,1.4742701388895512,0.004657001376152038
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,6,0.2529999911785126,0.48500001430511475,0.49799999594688416,0.05999999865889549,0.052000001072883606,0.03500000014901161,0.012000000104308128,0.017000000923871994,0.0,0.0,0.1412,0.41200000047683716,0.035200000181794165,0.0,0.14120000023394824,1.3683814834803343,0.004674678945541382
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,7,0.14399999380111694,0.5419999957084656,0.5590000152587891,0.05900000035762787,0.03700000047683716,0.04100000113248825,0.009999999776482582,0.01600000075995922,0.0010000000474974513,0.0,0.1409,0.4150000015894572,0.032600000500679016,0.0005000000237487257,0.1409000007319264,1.282027231529355,0.004791187572479248
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,8,0.16500000655651093,0.4749999940395355,0.5149999856948853,0.11400000005960464,0.08500000089406967,0.10599999874830246,0.03799999877810478,0.035999998450279236,0.0010000000474974513,0.0,0.1535,0.38499999543031055,0.07579999938607215,0.0005000000237487257,0.153499998326879,1.1486243605613708,0.004694625043869019
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,9,0.11900000274181366,0.5230000019073486,0.5490000247955322,0.10400000214576721,0.09399999678134918,0.06800000369548798,0.024000000208616257,0.020999999716877937,0.0,0.0,0.1502,0.3970000098148982,0.06220000050961971,0.0,0.1502000031992793,1.0389765817672014,0.004706300973892212
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,10,0.1459999978542328,0.4429999887943268,0.46399998664855957,0.14900000393390656,0.11900000274181366,0.1469999998807907,0.07199999690055847,0.06800000369548798,0.0,0.0010000000474974513,0.1609,0.35099999109903973,0.11100000143051147,0.0005000000237487257,0.16089999804971739,0.939007066655904,0.004649305558204651
