sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,0,0.3930000066757202,0.0820000022649765,0.04500000178813934,0.017999999225139618,0.052000001072883606,0.039000000804662704,0.023000000044703484,0.026000000536441803,0.014999999664723873,0.31200000643730164,0.1005,0.17333333690961203,0.08720000144094228,0.024500000290572643,0.10050000185146928,2.3574611074046086,0.004636835670471191
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,1,0.7179999947547913,0.054999999701976776,0.023000000044703484,0.004999999888241291,0.01600000075995922,0.010999999940395355,0.003000000026077032,0.04399999976158142,0.0020000000949949026,0.19300000369548798,0.107,0.2653333315004905,0.015800000075250863,0.09750000189524144,0.10699999986682088,2.2412053534859107,0.03190364866256714
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,2,0.7080000042915344,0.07800000160932541,0.032999999821186066,0.008999999612569809,0.014999999664723873,0.009999999776482582,0.008999999612569809,0.03500000014901161,0.004000000189989805,0.14800000190734863,0.1049,0.27300000190734863,0.015599999763071536,0.07600000104866922,0.1049000006634742,2.0805188887997677,0.043545299911499025
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,3,0.7620000243186951,0.09200000017881393,0.03400000184774399,0.009999999776482582,0.014999999664723873,0.0010000000474974513,0.004000000189989805,0.006000000052154064,0.0020000000949949026,0.06400000303983688,0.099,0.296000008781751,0.007199999946169555,0.03300000156741589,0.09900000292109326,1.9385602693808706,0.04600246353149414
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,4,0.7699999809265137,0.10000000149011612,0.019999999552965164,0.004000000189989805,0.008999999612569809,0.0020000000949949026,0.003000000026077032,0.0,0.0,0.13300000131130219,0.1041,0.29666666065653163,0.0035999999847263096,0.06650000065565109,0.10409999832045287,1.768212200779664,0.07515577793121338
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,5,0.7910000085830688,0.09099999815225601,0.027000000700354576,0.006000000052154064,0.010999999940395355,0.003000000026077032,0.0010000000474974513,0.0020000000949949026,0.0,0.061000000685453415,0.0993,0.3030000024785598,0.004600000032223761,0.030500000342726707,0.09930000082822517,1.6287166664474888,0.0866359603881836
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,6,0.6159999966621399,0.1289999932050705,0.029999999329447746,0.010999999940395355,0.023000000044703484,0.008999999612569809,0.009999999776482582,0.004999999888241291,0.0010000000474974513,0.15199999511241913,0.0986,0.2583333297322194,0.011599999852478504,0.07649999757995829,0.09859999836189673,1.4856557610787844,0.10704465007781983
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,7,0.5260000228881836,0.16099999845027924,0.027000000700354576,0.026000000536441803,0.017000000923871994,0.017999999225139618,0.008999999612569809,0.006000000052154064,0.0010000000474974513,0.19499999284744263,0.0986,0.23800000734627247,0.015200000070035458,0.09799999644747004,0.09860000152839347,1.394852068863417,0.12309867763519287
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,8,0.32499998807907104,0.24799999594688416,0.04600000008940697,0.08399999886751175,0.029999999329447746,0.050999999046325684,0.02199999988079071,0.008999999612569809,0.003000000026077032,0.17499999701976776,0.0993,0.20633332803845406,0.03919999934732914,0.0889999985229224,0.09929999778978527,1.299248012272935,0.24660699615478515
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,9,0.5260000228881836,0.050999999046325684,0.017999999225139618,0.05999999865889549,0.032999999821186066,0.11299999803304672,0.012000000104308128,0.01600000075995922,0.0010000000474974513,0.21799999475479126,0.1048,0.19833334038654962,0.04679999947547912,0.10949999740114436,0.10480000133393333,1.2667361348867416,0.07329373254776
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,10,0.3569999933242798,0.12300000339746475,0.02500000037252903,0.08299999684095383,0.03700000047683716,0.05700000002980232,0.014999999664723873,0.00800000037997961,0.0,0.2549999952316284,0.096,0.16833333236475786,0.03999999947845936,0.1274999976158142,0.09599999897181988,1.212401168126809,0.10859240703582763
