sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0,0.7490000128746033,0.8769999742507935,0.5740000009536743,0.07599999755620956,0.09200000017881393,0.2800000011920929,0.12800000607967377,0.07100000232458115,0.0020000000949949026,0.003000000026077032,0.2852,0.7333333293596903,0.12940000146627426,0.0025000000605359674,0.28519999955315145,2.015720712895296,0.004553555846214295
5000-5000-5000-1825-1812-1803-1787-1773-501-499,1,0.8259999752044678,0.9039999842643738,0.7599999904632568,0.3199999928474426,0.16200000047683716,0.4259999990463257,0.4740000069141388,0.3529999852180481,0.004000000189989805,0.0430000014603138,0.4272,0.8299999833106995,0.3469999969005585,0.0235000008251518,0.42719999360851946,1.2890659692336102,0.003440708029270172
5000-5000-5000-1825-1812-1803-1787-1773-501-499,2,0.878000020980835,0.9129999876022339,0.7289999723434448,0.3840000033378601,0.4269999861717224,0.4819999933242798,0.6349999904632568,0.5789999961853027,0.0689999982714653,0.1599999964237213,0.5256,0.8399999936421713,0.5013999938964844,0.11449999734759331,0.5255999945104122,0.804234791775139,0.002954222857952118
5000-5000-5000-1825-1812-1803-1787-1773-501-499,3,0.8650000095367432,0.9179999828338623,0.7699999809265137,0.41999998688697815,0.47200000286102295,0.5529999732971191,0.675000011920929,0.6359999775886536,0.1509999930858612,0.24400000274181366,0.5704,0.8509999910990397,0.5511999905109406,0.19749999791383743,0.5703999921679497,0.48764355936828924,0.002784336173534393
5000-5000-5000-1825-1812-1803-1787-1773-501-499,4,0.8740000128746033,0.9300000071525574,0.7509999871253967,0.4869999885559082,0.5139999985694885,0.5509999990463257,0.6930000185966492,0.6320000290870667,0.23899999260902405,0.289000004529953,0.596,0.8516666690508524,0.5754000067710876,0.2639999985694885,0.5960000038146973,0.2831059834178613,0.0027314254760742187
5000-5000-5000-1825-1812-1803-1787-1773-501-499,5,0.871999979019165,0.9200000166893005,0.7549999952316284,0.4790000021457672,0.5540000200271606,0.5490000247955322,0.722000002861023,0.6629999876022339,0.28200000524520874,0.33000001311302185,0.6126,0.8489999969800314,0.5934000074863434,0.3060000091791153,0.6126000046730041,0.16496475010502096,0.0028165144205093383
5000-5000-5000-1825-1812-1803-1787-1773-501-499,6,0.8640000224113464,0.9240000247955322,0.753000020980835,0.44999998807907104,0.5590000152587891,0.5830000042915344,0.7239999771118164,0.6729999780654907,0.36399999260902405,0.37700000405311584,0.6271,0.8470000227292379,0.5977999925613403,0.37049999833106995,0.6271000027656555,0.09585220229868986,0.0028271093606948854
5000-5000-5000-1825-1812-1803-1787-1773-501-499,7,0.8560000061988831,0.921999990940094,0.75,0.4790000021457672,0.5529999732971191,0.5590000152587891,0.7440000176429749,0.6679999828338623,0.3709999918937683,0.375,0.6277,0.8426666657129923,0.6005999982357025,0.37299999594688416,0.6276999980211257,0.05909236212622146,0.002956240713596344
5000-5000-5000-1825-1812-1803-1787-1773-501-499,8,0.859000027179718,0.921999990940094,0.753000020980835,0.48399999737739563,0.5609999895095825,0.5559999942779541,0.7549999952316284,0.6779999732971191,0.3840000033378601,0.367000013589859,0.6319,0.8446666797002157,0.606799989938736,0.37550000846385956,0.6319000005722046,0.03990968362409241,0.003036090910434723
5000-5000-5000-1825-1812-1803-1787-1773-501-499,9,0.8569999933242798,0.9190000295639038,0.7609999775886536,0.47200000286102295,0.5519999861717224,0.5559999942779541,0.7369999885559082,0.6919999718666077,0.38999998569488525,0.3869999945163727,0.6323,0.8456666668256124,0.6017999887466431,0.38849999010562897,0.6322999924421311,0.031227419761066535,0.0031277816057205202
5000-5000-5000-1825-1812-1803-1787-1773-501-499,10,0.8610000014305115,0.921999990940094,0.7400000095367432,0.47600001096725464,0.5740000009536743,0.5720000267028809,0.7519999742507935,0.6859999895095825,0.37599998712539673,0.3880000114440918,0.6347,0.8410000006357828,0.6120000004768371,0.38199999928474426,0.6347000002861023,0.02196185380144387,0.003217532205581665
5000-5000-5000-1825-1812-1803-1787-1773-501-499,11,0.8659999966621399,0.9240000247955322,0.7490000128746033,0.4659999907016754,0.5730000138282776,0.5730000138282776,0.7590000033378601,0.6990000009536743,0.38600000739097595,0.38999998569488525,0.6385,0.8463333447774252,0.614000004529953,0.3879999965429306,0.6385000050067902,0.018327845279507492,0.0033113788604736327
5000-5000-5000-1825-1812-1803-1787-1773-501-499,12,0.8700000047683716,0.9359999895095825,0.7599999904632568,0.47600001096725464,0.5619999766349792,0.5820000171661377,0.7609999775886536,0.6859999895095825,0.375,0.3779999911785126,0.6386,0.8553333282470703,0.6133999943733215,0.3764999955892563,0.6385999947786332,0.015011109820357998,0.0034316478490829467
5000-5000-5000-1825-1812-1803-1787-1773-501-499,13,0.8650000095367432,0.9210000038146973,0.7540000081062317,0.49799999594688416,0.5770000219345093,0.5479999780654907,0.7590000033378601,0.6800000071525574,0.3869999945163727,0.39500001072883606,0.6384,0.846666673819224,0.6124000012874603,0.39100000262260437,0.6384000033140182,0.013909086566038278,0.0034323837041854858
5000-5000-5000-1825-1812-1803-1787-1773-501-499,14,0.8759999871253967,0.9259999990463257,0.7639999985694885,0.49000000953674316,0.5419999957084656,0.5619999766349792,0.7739999890327454,0.6809999942779541,0.382999986410141,0.40799999237060547,0.6406,0.8553333282470703,0.6097999930381774,0.39549998939037323,0.6405999928712844,0.01278165218952511,0.003446684730052948
5000-5000-5000-1825-1812-1803-1787-1773-501-499,15,0.8669999837875366,0.9279999732971191,0.7649999856948853,0.48500001430511475,0.5770000219345093,0.5630000233650208,0.7630000114440918,0.6850000023841858,0.3799999952316284,0.3930000066757202,0.6406,0.853333314259847,0.6146000146865844,0.3865000009536743,0.6406000018119812,0.01101849128834295,0.0035406811475753785
5000-5000-5000-1825-1812-1803-1787-1773-501-499,16,0.8650000095367432,0.925000011920929,0.7689999938011169,0.48899999260902405,0.5609999895095825,0.5870000123977661,0.7680000066757202,0.675000011920929,0.3869999945163727,0.40799999237060547,0.6434,0.8530000050862631,0.6160000026226043,0.3974999934434891,0.643400001525879,0.011760362804088056,0.003558228170871735
5000-5000-5000-1825-1812-1803-1787-1773-501-499,17,0.8610000014305115,0.9229999780654907,0.7570000290870667,0.5130000114440918,0.5569999814033508,0.5730000138282776,0.7580000162124634,0.6880000233650208,0.3880000114440918,0.4129999876022339,0.6431,0.847000002861023,0.6178000092506408,0.40049999952316284,0.6431000053882598,0.008935474234690167,0.00360536128282547
5000-5000-5000-1825-1812-1803-1787-1773-501-499,18,0.8700000047683716,0.9330000281333923,0.7749999761581421,0.48399999737739563,0.5619999766349792,0.574999988079071,0.7670000195503235,0.6869999766349792,0.3709999918937683,0.4020000100135803,0.6426,0.859333336353302,0.6149999916553497,0.3865000009536743,0.6425999969244003,0.008695462243441416,0.0036760649681091308
