sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,0,0.5350000262260437,0.8989999890327454,0.44999998807907104,0.05700000002980232,0.04899999871850014,0.20000000298023224,0.14499999582767487,0.06599999964237213,0.0020000000949949026,0.0020000000949949026,0.2405,0.62800000111262,0.10339999943971634,0.0020000000949949026,0.24050000007264316,2.1546664126217365,0.0044472237586975095
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,1,0.8040000200271606,0.8529999852180481,0.6489999890327454,0.1420000046491623,0.12300000339746475,0.335999995470047,0.39399999380111694,0.1379999965429306,0.003000000026077032,0.017999999225139618,0.346,0.768666664759318,0.22659999877214432,0.010499999625608325,0.34599999873898923,1.5936519242823124,0.0039630720973014835
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,2,0.800000011920929,0.8830000162124634,0.6759999990463257,0.25999999046325684,0.34200000762939453,0.39500001072883606,0.5950000286102295,0.3190000057220459,0.00800000037997961,0.061000000685453415,0.4339,0.7863333423932394,0.38220000863075254,0.03450000053271651,0.4339000071398914,1.110275348648429,0.0033920461535453797
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,3,0.8259999752044678,0.8899999856948853,0.6779999732971191,0.35899999737739563,0.43299999833106995,0.42899999022483826,0.640999972820282,0.47600001096725464,0.03200000151991844,0.19099999964237213,0.4955,0.7979999780654907,0.46759999394416807,0.11150000058114529,0.49549999050796034,0.7534849885851145,0.003055786848068237
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,4,0.8349999785423279,0.8920000195503235,0.6729999780654907,0.3869999945163727,0.48500001430511475,0.4779999852180481,0.6620000004768372,0.5569999814033508,0.11400000005960464,0.3319999873638153,0.5415,0.799999992052714,0.5137999951839447,0.22299999371170998,0.5414999939501286,0.49647190049290657,0.0028267945408821105
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,5,0.8289999961853027,0.875,0.699999988079071,0.4320000112056732,0.4950000047683716,0.49799999594688416,0.6620000004768372,0.5789999961853027,0.1899999976158142,0.36800000071525574,0.5628,0.8013333280881246,0.5332000017166137,0.278999999165535,0.5627999991178513,0.31526196748018265,0.002804840111732483
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,6,0.8320000171661377,0.8830000162124634,0.6909999847412109,0.42800000309944153,0.5109999775886536,0.5329999923706055,0.6980000138282776,0.5759999752044678,0.26600000262260437,0.40400001406669617,0.5822,0.8020000060399374,0.5491999924182892,0.33500000834465027,0.5821999996900559,0.19898039707913995,0.0027646520137786863
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,7,0.8360000252723694,0.8740000128746033,0.6980000138282776,0.453000009059906,0.5019999742507935,0.5299999713897705,0.699999988079071,0.6110000014305115,0.2840000092983246,0.42500001192092896,0.5913,0.8026666839917501,0.5591999888420105,0.35450001060962677,0.5913000017404556,0.12348376214504242,0.0027921361207962035
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,8,0.8190000057220459,0.878000020980835,0.6970000267028809,0.4480000138282776,0.5139999985694885,0.5329999923706055,0.7149999737739563,0.6060000061988831,0.3370000123977661,0.42800000309944153,0.5975,0.7980000178019205,0.5631999969482422,0.3825000077486038,0.597500005364418,0.08162285329308361,0.0028340512037277224
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,9,0.8180000185966492,0.8799999952316284,0.6940000057220459,0.45899999141693115,0.5120000243186951,0.5350000262260437,0.7080000042915344,0.6010000109672546,0.3610000014305115,0.44699999690055847,0.6015,0.7973333398501078,0.5630000114440918,0.403999999165535,0.6015000075101853,0.056596422218717635,0.0029083547234535216
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,10,0.8339999914169312,0.8889999985694885,0.699999988079071,0.44999998807907104,0.5130000114440918,0.5299999713897705,0.7099999785423279,0.597000002861023,0.36399999260902405,0.4339999854564667,0.6021,0.8076666593551636,0.5599999904632569,0.39899998903274536,0.6020999908447265,0.04132587689673528,0.003004834032058716
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,11,0.8360000252723694,0.8809999823570251,0.7039999961853027,0.460999995470047,0.5529999732971191,0.5189999938011169,0.7059999704360962,0.5979999899864197,0.36399999260902405,0.460999995470047,0.6083,0.8070000012715658,0.5673999845981598,0.4124999940395355,0.6082999914884567,0.03166913508903235,0.003049128222465515
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0.3-0.3-0.3-0.3-0.3-0-0,12,0.824999988079071,0.8769999742507935,0.7070000171661377,0.44999998807907104,0.5389999747276306,0.5149999856948853,0.7099999785423279,0.6169999837875366,0.3880000114440918,0.4659999907016754,0.6094,0.8029999931653341,0.5661999821662903,0.4270000010728836,0.6093999892473221,0.02176334089017473,0.0030583110094070435
