sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,0,0.25200000405311584,0.18000000715255737,0.04800000041723251,0.2460000067949295,0.3319999873638153,0.47099998593330383,0.42800000309944153,0.19300000369548798,0.020999999716877937,0.05700000002980232,0.2228,0.34966666003068286,0.22020000368356704,0.03899999987334013,0.2227999998256564,2.2362978550103993,0.004343076825141907
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,1,0.46799999475479126,0.3179999887943268,0.061000000685453415,0.3799999952316284,0.4169999957084656,0.49300000071525574,0.6230000257492065,0.39100000262260437,0.012000000104308128,0.07000000029802322,0.3233,0.2823333280781905,0.46080000400543214,0.041000000201165676,0.32330000046640633,1.8334408127344572,0.003976748073101044
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,2,0.5989999771118164,0.5630000233650208,0.12300000339746475,0.42899999022483826,0.515999972820282,0.49399998784065247,0.6489999890327454,0.5659999847412109,0.017000000923871994,0.15000000596046448,0.4106,0.4283333346247673,0.5307999849319458,0.08350000344216824,0.41059999354183674,1.3689766480372503,0.0035015387177467347
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,3,0.6819999814033508,0.6380000114440918,0.23000000417232513,0.5009999871253967,0.546999990940094,0.5329999923706055,0.7020000219345093,0.6010000109672546,0.06599999964237213,0.3199999928474426,0.482,0.5166666656732559,0.576800000667572,0.19299999624490738,0.48199999928474424,0.9686843110964849,0.0030839303493499755
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,4,0.6949999928474426,0.7149999737739563,0.3140000104904175,0.5109999775886536,0.5789999961853027,0.5379999876022339,0.7120000123977661,0.6240000128746033,0.20499999821186066,0.3580000102519989,0.5251,0.5746666590372721,0.5927999973297119,0.2815000042319298,0.5250999972224235,0.6668607638432429,0.0028369912028312684
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,5,0.6439999938011169,0.7020000219345093,0.3720000088214874,0.4950000047683716,0.5889999866485596,0.5540000200271606,0.7450000047683716,0.652999997138977,0.4230000078678131,0.42800000309944153,0.5605,0.5726666748523712,0.6072000026702881,0.4255000054836273,0.5605000048875809,0.44528956138170683,0.002685180842876434
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,6,0.6420000195503235,0.7329999804496765,0.4050000011920929,0.5410000085830688,0.5669999718666077,0.5740000009536743,0.7400000095367432,0.6470000147819519,0.4699999988079071,0.45500001311302185,0.5774,0.5933333337306976,0.6138000011444091,0.4625000059604645,0.5774000018835068,0.28309204945197475,0.0026631456971168517
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,7,0.6320000290870667,0.7379999756813049,0.4309999942779541,0.527999997138977,0.5860000252723694,0.5649999976158142,0.753000020980835,0.6439999938011169,0.5360000133514404,0.48899999260902405,0.5902,0.6003333330154419,0.6152000069618225,0.5125000029802322,0.5902000039815902,0.18320540166818178,0.002628426170349121
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,8,0.6600000262260437,0.7480000257492065,0.4309999942779541,0.5170000195503235,0.574999988079071,0.5910000205039978,0.7739999890327454,0.6489999890327454,0.5640000104904175,0.4830000102519989,0.5992,0.6130000154177347,0.6212000012397766,0.5235000103712082,0.5992000073194503,0.12731664570478293,0.002664201831817627
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,9,0.6669999957084656,0.7480000257492065,0.421999990940094,0.5210000276565552,0.5979999899864197,0.5849999785423279,0.777999997138977,0.6589999794960022,0.5699999928474426,0.4959999918937683,0.6044,0.612333337465922,0.6281999945640564,0.5329999923706055,0.604399996995926,0.08345680425946529,0.0027102598547935485
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,10,0.6690000295639038,0.7480000257492065,0.4399999976158142,0.5189999938011169,0.5910000205039978,0.6000000238418579,0.7720000147819519,0.6600000262260437,0.5839999914169312,0.5139999985694885,0.6097,0.6190000176429749,0.6284000158309937,0.5489999949932098,0.6097000122070313,0.05839018982190352,0.0027354680061340334
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,11,0.671999990940094,0.7440000176429749,0.4390000104904175,0.5329999923706055,0.5809999704360962,0.593999981880188,0.7900000214576721,0.652999997138977,0.5839999914169312,0.5099999904632568,0.61,0.6183333396911621,0.6301999926567078,0.546999990940094,0.6099999964237213,0.046379032401511304,0.002812802755832672
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,12,0.6690000295639038,0.753000020980835,0.42500001192092896,0.5350000262260437,0.5920000076293945,0.5910000205039978,0.7919999957084656,0.6639999747276306,0.5979999899864197,0.5139999985694885,0.6133,0.6156666874885559,0.6348000049591065,0.5559999942779541,0.6133000075817108,0.03612872943855249,0.0028642945647239684
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,13,0.6779999732971191,0.7590000033378601,0.4359999895095825,0.5239999890327454,0.5899999737739563,0.5989999771118164,0.7860000133514404,0.6710000038146973,0.5730000138282776,0.5370000004768372,0.6153,0.6243333220481873,0.6339999914169312,0.5550000071525574,0.6152999937534332,0.029576778376045134,0.0028917333364486693
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,14,0.6800000071525574,0.7519999742507935,0.4429999887943268,0.5289999842643738,0.6019999980926514,0.5759999752044678,0.7720000147819519,0.6850000023841858,0.6029999852180481,0.5260000228881836,0.6168,0.6249999900658926,0.6327999949455261,0.5645000040531158,0.616799995303154,0.023694726495215528,0.0028919675827026366
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,15,0.6650000214576721,0.7559999823570251,0.45500001311302185,0.5490000247955322,0.5889999866485596,0.5770000219345093,0.7770000100135803,0.6700000166893005,0.5820000171661377,0.5339999794960022,0.6154,0.6253333389759064,0.6324000120162964,0.55799999833107,0.6154000073671341,0.021699164026918318,0.0029887484073638916
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,16,0.671999990940094,0.7480000257492065,0.46299999952316284,0.5289999842643738,0.5989999771118164,0.5870000123977661,0.7730000019073486,0.6830000281333923,0.5929999947547913,0.5350000262260437,0.6182,0.6276666720708212,0.6342000007629395,0.5640000104904175,0.6182000041007996,0.020761944353580475,0.0029745141625404357
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,17,0.675000011920929,0.7429999709129333,0.4410000145435333,0.546999990940094,0.6150000095367432,0.5870000123977661,0.7850000262260437,0.6909999847412109,0.5989999771118164,0.5360000133514404,0.6219,0.6196666657924652,0.6450000047683716,0.5674999952316284,0.6219000011682511,0.017829528759018734,0.0029958640217781067
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,18,0.6740000247955322,0.7620000243186951,0.4650000035762787,0.5239999890327454,0.6069999933242798,0.5849999785423279,0.7820000052452087,0.6869999766349792,0.6069999933242798,0.5320000052452087,0.6225,0.6336666842301687,0.6369999885559082,0.5694999992847443,0.6224999994039535,0.014495679445994588,0.002992520833015442
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,19,0.6819999814033508,0.7390000224113464,0.4429999887943268,0.5509999990463257,0.609000027179718,0.5920000076293945,0.7870000004768372,0.6790000200271606,0.6029999852180481,0.503000020980835,0.6188,0.6213333308696747,0.6436000108718872,0.5530000030994415,0.6188000053167343,0.015361578185827686,0.003100655484199524
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,20,0.6909999847412109,0.7450000047683716,0.453000009059906,0.5389999747276306,0.6029999852180481,0.5720000267028809,0.8050000071525574,0.6800000071525574,0.6240000128746033,0.5149999856948853,0.6227,0.6296666661898295,0.6398000001907349,0.5694999992847443,0.6226999998092652,0.017415431883329384,0.003095609974861145
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,21,0.6980000138282776,0.753000020980835,0.4519999921321869,0.531000018119812,0.6050000190734863,0.5870000123977661,0.8059999942779541,0.6779999732971191,0.6100000143051147,0.5320000052452087,0.6252,0.6343333423137665,0.6414000034332276,0.5710000097751617,0.6252000063657761,0.013532572193071246,0.0030624318838119507
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,22,0.6539999842643738,0.7490000128746033,0.4869999885559082,0.527999997138977,0.6159999966621399,0.5839999914169312,0.7889999747276306,0.6899999976158142,0.6230000257492065,0.5429999828338623,0.6263,0.6299999952316284,0.6413999915122985,0.5830000042915344,0.6262999951839447,0.011790993202549335,0.003092815363407135
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,23,0.6629999876022339,0.75,0.46399998664855957,0.5600000023841858,0.6119999885559082,0.5709999799728394,0.8140000104904175,0.6769999861717224,0.6129999756813049,0.5299999713897705,0.6254,0.6256666580835978,0.6467999935150146,0.5714999735355377,0.6253999888896942,0.010514835800187519,0.003154287314414978
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,24,0.6890000104904175,0.7570000290870667,0.4880000054836273,0.5400000214576721,0.6159999966621399,0.5789999961853027,0.7749999761581421,0.6759999990463257,0.6000000238418579,0.5289999842643738,0.6249,0.6446666816870371,0.6371999979019165,0.5645000040531158,0.6249000042676925,0.006832367095809717,0.003124035930633545
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,25,0.6930000185966492,0.7509999871253967,0.4869999885559082,0.5379999876022339,0.6169999837875366,0.5799999833106995,0.7950000166893005,0.6629999876022339,0.6100000143051147,0.5329999923706055,0.6267,0.643666664759318,0.6385999917984009,0.5715000033378601,0.6266999959945678,0.008045358144534895,0.003174162769317627
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,26,0.6660000085830688,0.7300000190734863,0.45899999141693115,0.5289999842643738,0.6190000176429749,0.5950000286102295,0.8100000023841858,0.6759999990463257,0.6150000095367432,0.5609999895095825,0.626,0.6183333396911621,0.6458000063896179,0.5879999995231628,0.6260000050067902,0.009410416689486457,0.003191737186908722
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,27,0.6650000214576721,0.7440000176429749,0.453000009059906,0.531000018119812,0.6119999885559082,0.597000002861023,0.8019999861717224,0.6819999814033508,0.6309999823570251,0.5550000071525574,0.6272,0.6206666827201843,0.6447999954223633,0.5929999947547913,0.6272000014781952,0.008249985430246362,0.003170907783508301
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,28,0.6919999718666077,0.7559999823570251,0.4580000042915344,0.5199999809265137,0.6159999966621399,0.5860000252723694,0.7889999747276306,0.6880000233650208,0.6330000162124634,0.5440000295639038,0.6282,0.6353333195050558,0.6398000001907349,0.5885000228881836,0.6282000005245209,0.0072521790862083435,0.003163855588436127
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,29,0.7070000171661377,0.7710000276565552,0.45500001311302185,0.5429999828338623,0.6140000224113464,0.6000000238418579,0.777999997138977,0.6909999847412109,0.5979999899864197,0.5189999938011169,0.6276,0.6443333526452383,0.645200002193451,0.5584999918937683,0.6276000052690506,0.006984414908891687,0.003233624219894409
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,30,0.7020000219345093,0.753000020980835,0.45500001311302185,0.5360000133514404,0.6299999952316284,0.5920000076293945,0.7960000038146973,0.6769999861717224,0.6140000224113464,0.5339999794960022,0.6289,0.6366666853427887,0.6462000012397766,0.5740000009536743,0.6289000064134598,0.006387367352055242,0.0032407061338424682
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,31,0.6909999847412109,0.7570000290870667,0.46399998664855957,0.5479999780654907,0.6179999709129333,0.5960000157356262,0.7990000247955322,0.6769999861717224,0.621999979019165,0.5379999876022339,0.631,0.637333333492279,0.647599995136261,0.5799999833106995,0.6309999942779541,0.003558913630863222,0.003223820686340332
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,32,0.6970000267028809,0.7459999918937683,0.4580000042915344,0.5320000052452087,0.621999979019165,0.6150000095367432,0.7900000214576721,0.6769999861717224,0.6190000176429749,0.5400000214576721,0.6296,0.6336666742960612,0.6472000002861023,0.5795000195503235,0.6296000063419342,0.004893129060152345,0.0032431070446968077
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,33,0.7020000219345093,0.7699999809265137,0.4429999887943268,0.5529999732971191,0.6190000176429749,0.593999981880188,0.7950000166893005,0.6819999814033508,0.621999979019165,0.5329999923706055,0.6313,0.6383333305517832,0.6485999941825866,0.5774999856948853,0.6312999933958053,0.00447229749093262,0.003242642045021057
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,34,0.6899999976158142,0.7680000066757202,0.4490000009536743,0.5350000262260437,0.6169999837875366,0.593999981880188,0.7990000247955322,0.6869999766349792,0.6370000243186951,0.5379999876022339,0.6314,0.6356666684150696,0.646399998664856,0.5875000059604645,0.6314000010490417,0.0038658754067280544,0.003237560141086578
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,35,0.6990000009536743,0.7620000243186951,0.46399998664855957,0.5360000133514404,0.6159999966621399,0.5860000252723694,0.7979999780654907,0.6930000185966492,0.6230000257492065,0.5289999842643738,0.6306,0.6416666706403097,0.6458000063896179,0.5760000050067902,0.6306000053882599,0.0038618482291125334,0.003233705699443817
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,36,0.718999981880188,0.7540000081062317,0.4580000042915344,0.5429999828338623,0.6200000047683716,0.593999981880188,0.7929999828338623,0.6779999732971191,0.6150000095367432,0.5370000004768372,0.6311,0.643666664759318,0.6455999851226807,0.5760000050067902,0.6310999929904938,0.004224842606792943,0.00324352810382843
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,37,0.7049999833106995,0.7549999952316284,0.45100000500679016,0.5419999957084656,0.6200000047683716,0.5960000157356262,0.7929999828338623,0.6890000104904175,0.6150000095367432,0.5460000038146973,0.6312,0.6369999945163727,0.6480000019073486,0.5805000066757202,0.6312000006437302,0.003917671113203351,0.003242582309246063
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,38,0.7020000219345093,0.7490000128746033,0.460999995470047,0.5370000004768372,0.625,0.6010000109672546,0.7860000133514404,0.675000011920929,0.6290000081062317,0.5460000038146973,0.6311,0.6373333434263865,0.6448000073432922,0.5875000059604645,0.631100007891655,0.003097106295172125,0.003243872141838074
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,39,0.7009999752044678,0.746999979019165,0.4440000057220459,0.546999990940094,0.6349999904632568,0.5860000252723694,0.7789999842643738,0.6869999766349792,0.6140000224113464,0.5519999861717224,0.6292,0.6306666533152262,0.6467999935150146,0.5830000042915344,0.629199993610382,0.0030549713276111735,0.003267903709411621
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,40,0.7049999833106995,0.7599999904632568,0.4519999921321869,0.5320000052452087,0.6309999823570251,0.5839999914169312,0.800000011920929,0.6850000023841858,0.5950000286102295,0.5440000295639038,0.6288,0.6389999886353811,0.646399998664856,0.5695000290870667,0.6288000017404556,0.00386695246785306,0.003264909517765045
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,41,0.6990000009536743,0.7559999823570251,0.46000000834465027,0.5509999990463257,0.6159999966621399,0.5899999737739563,0.7870000004768372,0.6890000104904175,0.6190000176429749,0.5490000247955322,0.6316,0.6383333305517832,0.6465999960899353,0.5840000212192535,0.6316000014543534,0.002855564651186936,0.003255181634426117
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,42,0.7009999752044678,0.7670000195503235,0.460999995470047,0.5400000214576721,0.6240000128746033,0.593999981880188,0.796999990940094,0.6790000200271606,0.6159999966621399,0.5389999747276306,0.6318,0.6429999967416128,0.6468000054359436,0.5774999856948853,0.6317999988794327,0.0035134374495380772,0.0032646793246269225
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,43,0.6859999895095825,0.7570000290870667,0.45899999141693115,0.5360000133514404,0.6240000128746033,0.5989999771118164,0.7879999876022339,0.6790000200271606,0.6309999823570251,0.5320000052452087,0.6291,0.6340000033378601,0.645200002193451,0.5814999938011169,0.6291000008583069,0.0023929309368563387,0.003270268440246582
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,44,0.6890000104904175,0.7559999823570251,0.4569999873638153,0.5440000295639038,0.6320000290870667,0.574999988079071,0.8069999814033508,0.6779999732971191,0.621999979019165,0.5529999732971191,0.6313,0.6339999934037527,0.6472000002861023,0.5874999761581421,0.6312999933958053,0.0035012581278211796,0.003268002676963806
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,45,0.6899999976158142,0.7549999952316284,0.4449999928474426,0.5329999923706055,0.621999979019165,0.593999981880188,0.7960000038146973,0.6880000233650208,0.6179999709129333,0.5479999780654907,0.6289,0.6299999952316284,0.6465999960899353,0.582999974489212,0.6288999915122986,0.002802695573056833,0.0032567059874534605
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,46,0.7129999995231628,0.7480000257492065,0.4569999873638153,0.546999990940094,0.6259999871253967,0.5950000286102295,0.7979999780654907,0.6700000166893005,0.6069999933242798,0.5370000004768372,0.6298,0.6393333375453949,0.6472000002861023,0.5719999969005585,0.6298000007867813,0.003327943975679003,0.003297583770751953
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,47,0.7020000219345093,0.7609999775886536,0.46799999475479126,0.5339999794960022,0.6129999756813049,0.5929999947547913,0.8019999861717224,0.6890000104904175,0.6200000047683716,0.5339999794960022,0.6316,0.643666664759318,0.6461999893188477,0.5769999921321869,0.6315999925136566,0.003225033789371642,0.0032575571060180666
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,48,0.6959999799728394,0.7570000290870667,0.4699999988079071,0.5450000166893005,0.6190000176429749,0.5879999995231628,0.7900000214576721,0.6710000038146973,0.6179999709129333,0.546999990940094,0.6301,0.6410000026226044,0.6426000118255615,0.5824999809265137,0.6301000028848648,0.0029967870437898315,0.0032798003911972047
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,49,0.6990000009536743,0.7459999918937683,0.4650000035762787,0.5370000004768372,0.6240000128746033,0.5870000123977661,0.7900000214576721,0.6790000200271606,0.6169999837875366,0.5509999990463257,0.6295,0.6366666654745737,0.6434000134468079,0.5839999914169312,0.6295000046491623,0.0030362654629593287,0.0032593746185302737
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,50,0.7110000252723694,0.7540000081062317,0.4699999988079071,0.531000018119812,0.6200000047683716,0.6010000109672546,0.7889999747276306,0.6679999828338623,0.6119999885559082,0.5460000038146973,0.6302,0.6450000107288361,0.6417999982833862,0.5789999961853027,0.6302000015974045,0.002339878173258442,0.0032502463459968566
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,51,0.6909999847412109,0.7590000033378601,0.460999995470047,0.5450000166893005,0.6230000257492065,0.5849999785423279,0.8029999732971191,0.6639999747276306,0.6259999871253967,0.5540000200271606,0.6311,0.6369999945163727,0.6439999938011169,0.5900000035762787,0.631099995970726,0.0030430013430304825,0.0032723716974258424
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,52,0.6949999928474426,0.7559999823570251,0.460999995470047,0.5419999957084656,0.6259999871253967,0.5839999914169312,0.8059999942779541,0.6700000166893005,0.6309999823570251,0.5260000228881836,0.6297,0.6373333235581716,0.6455999970436096,0.5785000026226044,0.6296999961137771,0.004884042490560275,0.003288557457923889
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,53,0.6959999799728394,0.753000020980835,0.460999995470047,0.5360000133514404,0.6150000095367432,0.5929999947547913,0.8069999814033508,0.6800000071525574,0.6269999742507935,0.550000011920929,0.6318,0.6366666654745737,0.6462000012397766,0.5884999930858612,0.6317999988794327,0.0036412345048469994,0.0032556422233581545
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,54,0.6930000185966492,0.7559999823570251,0.46399998664855957,0.5350000262260437,0.6240000128746033,0.5989999771118164,0.7979999780654907,0.6650000214576721,0.6200000047683716,0.5450000166893005,0.6299,0.637666662534078,0.6442000031471252,0.5825000107288361,0.6299000024795532,0.002840313241064835,0.0032538226485252383
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,55,0.6949999928474426,0.7570000290870667,0.46399998664855957,0.531000018119812,0.6269999742507935,0.5870000123977661,0.7879999876022339,0.6779999732971191,0.6269999742507935,0.5429999828338623,0.6297,0.6386666695276896,0.6421999931335449,0.5849999785423279,0.629699993133545,0.0041126068278502384,0.0032668360233306885
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,56,0.699999988079071,0.7480000257492065,0.4620000123977661,0.5490000247955322,0.621999979019165,0.5870000123977661,0.8029999732971191,0.6729999780654907,0.6209999918937683,0.5479999780654907,0.6313,0.6366666754086813,0.6467999935150146,0.5844999849796295,0.6312999963760376,0.0025180481248893417,0.003263963174819946
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,57,0.7009999752044678,0.7599999904632568,0.4560000002384186,0.546999990940094,0.6179999709129333,0.5879999995231628,0.796999990940094,0.6779999732971191,0.6119999885559082,0.5350000262260437,0.6292,0.6389999886353811,0.6455999851226807,0.573500007390976,0.6291999906301499,0.0037652021050094985,0.0032707167863845824
